Title;Rank
Journal of Accounting Research;197
JACC: Cardiovascular Imaging;198
Progress in Polymer Science;199
Journal of Business Venturing;200
American Political Science Review;201
Nature Sustainability;202
JAMA Internal Medicine;203
Reports on Progress in Physics;204
Journal of the American Chemical Society;205
Genome Research;206
American Economic Journal: Microeconomics;207
Ecology Letters;208
Annual Review of Genomics and Human Genetics;209
Nature Biomedical Engineering;210
EMBO Journal;211
Current Protocols in Bioinformatics;212
Nature Chemical Biology;213
JAMA Psychiatry;214
Vital and health statistics. Series 2, Data evaluation and methods research;215
Pharmacological Reviews;216
Journal of the European Economic Association;217
Nature Ecology and Evolution;218
Journal of Clinical Investigation;219
MMWR supplements;220
Science Translational Medicine;221
Light: Science and Applications;222
JACC: Heart Failure;223
Annual Review of Political Science;224
Zhonghua fu chan ke za zhi;225
Trends in Ecology and Evolution;226
Cement and Concrete Research;227
Annual Review of Sociology;228
Journal of Labor Economics;229
Journal of the American Mathematical Society;230
Journal of Marketing Research;231
Annual Review of Financial Economics;232
Annals of the Rheumatic Diseases;233
Nature Geoscience;234
Molecular Biology and Evolution;235
Lancet HIV,The;236
Psychological Methods;237
Studies in Mycology;238
IEEE Transactions on Smart Grid;239
Journal of Business and Economic Statistics;240
Hepatology;241
European Journal of Heart Failure;242
Annual Review of Medicine;243
Nature Human Behaviour;244
Acta Neuropathologica;245
Advances in Computers;246
Organizational Research Methods;247
Lancet Haematology,The;248
Journal of Financial Intermediation;249
Signal Transduction and Targeted Therapy;250
IEEE Communications Magazine;251
Angewandte Chemie - International Edition;252
Economic Journal;253
Management Science;254
ACM Computing Surveys;255
Journal of Public Economics;256
Personnel Psychology;257
Human Reproduction Update;258
Genome Medicine;259
Alzheimer's and Dementia;260
Strategy Science;261
IEEE Network;262
Review of Asset Pricing Studies;263
American Journal of Human Genetics;264
Trends in Chemistry;265
Journal of Infection;266
Brookings Papers on Economic Activity;267
Progress in Particle and Nuclear Physics;268
Advanced Functional Materials;269
Advances in Methods and Practices in Psychological Science;270
American Journal of Political Science;271
Leadership Quarterly;272
Wiley Interdisciplinary Reviews: Computational Molecular Science;273
Med;274
Nature Plants;275
Trends in Immunology;276
Publications Mathematiques de l'Institut des Hautes Etudes Scientifiques;277
Journal of Extracellular Vesicles;278
Energy Storage Materials;279
Nature Communications;280
Cell Reports;281
Annual Review of Virology;282
Strategic Entrepreneurship Journal;283
Blood;284
Analytic Methods in Accident Research;285
Annual Review of Marine Science;286
Immunological Reviews;287
Digest of Technical Papers - IEEE International Solid-State Circuits Conference;288
Journal of Monetary Economics;289
Journal of the National Cancer Institute;290
eLife;291
Journal of Thoracic Oncology;292
Applied Physics Reviews;293
Cold Spring Harbor perspectives in biology;294
Molecular Neurodegeneration;295
Radiology: Artificial Intelligence;296
Annual Review of Materials Research;297
Political Analysis;298
Circulation Research;299
Developmental Cell;300
IEEE Signal Processing Magazine;301
Nano Energy;302
Proceedings of the IEEE;303
Accounting Review;304
Annual Review of Environment and Resources;305
EClinicalMedicine;306
IEEE Transactions on Power Systems;307
Journal of Management Studies;308
Annals of Internal Medicine;309
Psychological Science in the Public Interest, Supplement;310
ACS Nano;311
Nature Machine Intelligence;312
Protein Science;313
Radiology;314
Journal of the American Society of Nephrology : JASN;315
Science advances;316
International Journal of Information Management;317
Brain;318
Perspectives on Psychological Science;319
Information Fusion;320
Trends in Genetics;321
Inventiones Mathematicae;322
Annual Review of Earth and Planetary Sciences;323
Carbon Energy;324
IEEE Transactions on Cybernetics;325
MIS Quarterly: Management Information Systems;326
Applied Catalysis B: Environmental;327
Clinical Psychology Review;328
Ultrasound in Obstetrics and Gynecology;329
Coordination Chemistry Reviews;330
IEEE Transactions on Wireless Communications;331
American Journal of Psychiatry;332
Journal of the Academy of Marketing Science;333
Eurosurveillance;334
Ophthalmology;335
Acta Mathematica;336
Journal of the American Statistical Association;337
Clinical Cancer Research;338
Clinical Infectious Diseases;339
Microbiome;340
Journal of International Business Studies;341
Molecular Psychiatry;342
Lancet Child and Adolescent Health, The;343
Lancet Healthy Longevity, The;344
Journal of Management Information Systems;345
Biological Reviews;346
Psychological Review;347
Intensive Care Medicine;348
European Respiratory Journal;349
IEEE Transactions on Industrial Informatics;350
Cell Discovery;351
Nature Reviews Earth and Environment;352
Journal of Hematology and Oncology;353
Biological Psychiatry;354
IEEE Transactions on Neural Networks and Learning Systems;355
Molecular Plant;356
ACS Catalysis;357
Progress in Human Geography;358
Microbiology and Molecular Biology Reviews;359
IEEE Journal of Solid-State Circuits;360
Proceedings of the National Academy of Sciences of the United States of America;361
PLoS Medicine;362
IEEE Transactions on Automatic Control;363
Medical Image Analysis;364
Optica;365
IEEE Transactions on Sustainable Energy;366
Current Climate Change Reports;367
European Heart Journal;368
Annual Review of Criminology;369
ACS Central Science;370
Trends in Biochemical Sciences;371
IEEE Transactions on Fuzzy Systems;372
Academy of Management Perspectives;373
Trends in Neurosciences;374
Kidney International;375
Acta Numerica;376
Wiley interdisciplinary reviews. RNA;377
IEEE Transactions on Medical Imaging;378
EMBO Molecular Medicine;379
FEMS Microbiology Reviews;380
Psychotherapy and Psychosomatics;381
JAMA network open;382
IEEE Transactions on Image Processing;383
Leukemia;384
Health Affairs;385
Journal of Strategic Information Systems;386
Journal of Service Research;387
Annual Review of Pharmacology and Toxicology;388
Review of Accounting Studies;389
Advanced Science;390
Journal of Cell Biology;391
Matter;392
Nano-Micro Letters;393
PLoS Biology;394
European Journal of Epidemiology;395
Annual Review of Phytopathology;396
Internet and Higher Education;397
Nano Today;398
IEEE Vehicular Technology Magazine;399
Annual Review of Cancer Biology;400
Journal of Organizational Behavior;401
Annals of Neurology;402
Research in Organizational Behavior;403
British Journal of Sports Medicine;404
Remote Sensing of Environment;405
Organization Studies;406
International Journal of Management Reviews;407
IEEE Internet of Things Journal;408
Drug Resistance Updates;409
Foundations and Trends in Computer Graphics and Vision;410
Information Systems Research;411
Journal of Thrombosis and Haemostasis;412
Journal of Public Administration Research and Theory;413
Journal of Allergy and Clinical Immunology;414
Sports Medicine;415
Review of Finance;416
Automatica;417
California Management Review;418
Nano Letters;419
Annual Reviews in Control;420
Plant Cell;421
Econometrics Journal;422
Persoonia: Molecular Phylogeny and Evolution of Fungi;423
Communication Methods and Measures;424
Journal of Personality and Social Psychology;425
Energy and Environmental Materials;426
Global Change Biology;427
Renewable and Sustainable Energy Reviews;428
Computers and Education;429
Emerging Infectious Diseases;430
Small Methods;431
Materials Horizons;432
Earth System Science Data;433
JCI insight;434
Journal of Advances in Modeling Earth Systems;435
Limnology And Oceanography Letters;436
Cancer Immunology Research;437
Information and Organization;438
Journal of Interactive Marketing;439
Operations Research;440
Earth-Science Reviews;441
International Organization;442
JACC: Cardiovascular Interventions;443
IEEE Computational Intelligence Magazine;444
Foundations and Trends in Theoretical Computer Science;445
Ecological Monographs;446
Journal of the American Academy of Child and Adolescent Psychiatry;447
Journal of Travel Medicine;448
Journal of International Economics;449
Current Opinion in Cell Biology;450
JAMA Surgery;451
Cell Death and Differentiation;452
Current Opinion in Neurobiology;453
Journal of Financial and Quantitative Analysis;454
Quantitative Economics;455
Trends in Microbiology;456
Educational Psychologist;457
Research Policy;458
Annals of Surgery;459
Diabetologia;460
Surface Science Reports;461
Journal of Econometrics;462
IEEE Transactions on Industrial Electronics;463
Matrix Biology;464
Journal of Economic Growth;465
Developmental Review;466
Trends in Plant Science;467
ISPRS Journal of Photogrammetry and Remote Sensing;468
Digital Journalism;469
Journal of Environmental Economics and Management;470
Circulation: Heart Failure;471
IEEE Transactions on Robotics;472
Trends in Cancer;473
JAMA Pediatrics;474
Journal for ImmunoTherapy of Cancer;475
IEEE Transactions on Systems, Man, and Cybernetics: Systems;476
Evidence-Based Mental Health;477
BMC Medicine;478
International Journal of Robotics Research;479
Bioinformatics;480
Criminology;481
Hypertension;482
Forum of Mathematics, Pi;483
Lancet Planetary Health, The;484
Trends in Pharmacological Sciences;485
npj Quantum Information;486
Tourism Management;487
Proceedings of the Annual ACM Symposium on Theory of Computing;488
Educational Researcher;489
Transportation Research Part B: Methodological;490
Political Communication;491
International journal of oral science;492
Journal of Operations Management;493
Journal of Clinical Virology;494
Entrepreneurship Theory and Practice;495
International Review of Sport and Exercise Psychology;496
Seminars in Immunology;497
ISME Journal;498
Production and Operations Management;499
Foundations and Trends in Information Retrieval;500
IEEE Transactions on Power Electronics;501
npj Digital Medicine;502
Emerging Microbes and Infections;503
SIAM Review;504
Current Opinion in Structural Biology;505
American Journal of Transplantation;506
Structural Equation Modeling;507
IEEE Transactions on Information Forensics and Security;508
Journal of Travel Research;509
Foundations and Trends in Systems and Control;510
Innovation Policy and the Economy;511
Synthesis Lectures on Artificial Intelligence and Machine Learning;512
IEEE Transactions on Affective Computing;513
Journal of the National Comprehensive Cancer Network : JNCCN;514
Journal of Development Economics;515
Autophagy;516
Educational Psychology Review;517
Journal of Differential Geometry;518
Mucosal Immunology;519
Physical Review Letters;520
Stroke;521
Protection and Control of Modern Power Systems;522
Long Range Planning;523
Comparative Political Studies;524
IEEE Journal on Selected Topics in Signal Processing;525
Molecular Aspects of Medicine;526
Small;527
Blood Cancer Journal;528
Critical Care;529
Cancer Treatment Reviews;530
Transportation Research Part C: Emerging Technologies;531
Arthritis and Rheumatology;532
Radiocarbon;533
Journal of Internal Medicine;534
Frontiers in Ecology and the Environment;535
EMBO Reports;536
Epidemiologic Reviews;537
Biometrika;538
Laser and Photonics Reviews;539
Mathematical Programming Computation;540
Annual Review of Physical Chemistry;541
Autoimmunity Reviews;542
International Journal of Machine Tools and Manufacture;543
Global Environmental Change;544
Journal of Child Psychology and Psychiatry and Allied Disciplines;545
Annals of Tourism Research;546
Science Signaling;547
npj 2D Materials and Applications;548
npj Climate and Atmospheric Science;549
Computer-Aided Civil and Infrastructure Engineering;550
Trends in Molecular Medicine;551
Allergy: European Journal of Allergy and Clinical Immunology;552
Pattern Recognition;553
Clinical Microbiology and Infection;554
Journal of Clinical Epidemiology;555
IEEE Transactions on Communications;556
Annual Review of Statistics and Its Application;557
Communications on Pure and Applied Mathematics;558
Journal of Materials Chemistry A;559
Current Directions in Psychological Science;560
Neuro-Oncology;561
International Journal of Press/Politics;562
Modern Language Journal;563
Journal of Business and Psychology;564
Current Opinion in Plant Biology;565
Pharmacology and Therapeutics;566
Astrophysical Journal, Supplement Series;567
Cancer Research;568
Sociological Science;569
Educational Research Review;570
Molecular Therapy;571
Applied Energy;572
Transport Reviews;573
Nuclear Data Sheets;574
New Media and Society;575
Journal of Consumer Psychology;576
Progress in Neurobiology;577
National Health Statistics Reports;578
Circulation: Cardiovascular Interventions;579
Brain, Behavior, and Immunity;580
Annual Review of Vision Science;581
RAND Journal of Economics;582
Journal of Supply Chain Management;583
Briefings in Bioinformatics;584
Journal of Politics;585
Soft Robotics;586
Psychological Science;587
SIAM Journal on Optimization;588
Contemporary Accounting Research;589
Journal of Occupational Health Psychology;590
New Phytologist;591
Critical Reviews in Biochemistry and Molecular Biology;592
Methods in Ecology and Evolution;593
Language Learning;594
International Materials Reviews;595
npj Computational Materials;596
Science Education;597
ACS Materials Letters;598
Cellular and Molecular Immunology;599
Annals of Probability;600
npj Vaccines;601
Investigative Radiology;602
Journal of Manufacturing Systems;603
American Journal of Obstetrics and Gynecology;604
EcoSal Plus;605
Journal of Applied Econometrics;606
Advanced Drug Delivery Reviews;607
Sociology of Education;608
Chemistry of Materials;609
Review of Research in Education;610
Conservation Letters;611
Journal of Neurology, Neurosurgery and Psychiatry;612
Quarterly Journal of the Royal Meteorological Society;613
British Journal of Political Science;614
Current Opinion in Immunology;615
Sleep Medicine Reviews;616
Seminars in Cancer Biology;617
Journal of the European Mathematical Society;618
Research on Language and Social Interaction;619
Research Synthesis Methods;620
Theoretical Economics;621
Current Biology;622
Human Relations;623
Philosophical Review, The;624
Wiley Interdisciplinary Reviews: Data Mining and Knowledge Discovery;625
npj Flexible Electronics;626
Cement and Concrete Composites;627
Development (Cambridge);628
Quantitative Marketing and Economics;629
Mycosphere;630
JACC: Basic to Translational Science;631
Chemical Science;632
Genetics in Medicine;633
Behavior Research Methods;634
IUCrJ;635
Robotics and Computer-Integrated Manufacturing;636
Child Development Perspectives;637
European Journal of Cancer;638
Global Strategy Journal;639
European Heart Journal Cardiovascular Imaging;640
npj Breast Cancer;641
Journal of Statistical Software;642
Journal of Service Management;643
Alimentary Pharmacology and Therapeutics;644
Bone Research;645
Foundations and Trends in Communications and Information Theory;646
National Science Review;647
Comprehensive Physiology;648
Human Resource Management Review;649
Progress in Lipid Research;650
International Journal of Epidemiology;651
JHEP Reports;652
Transportation Research, Part E: Logistics and Transportation Review;653
Organizational Behavior and Human Decision Processes;654
Journal of Peasant Studies;655
Duke Mathematical Journal;656
Energy Conversion and Management;657
Acta Materialia;658
Additive Manufacturing;659
European Journal of Political Research;660
Information Systems Journal;661
Journal of Urban Economics;662
Political Behavior;663
Transportation Science;664
International Journal of Production Economics;665
Journal of the ACM;666
IEEE Wireless Communications Letters;667
Water Research;668
Journal of Vocational Behavior;669
Annals of PDE;670
Journal of the Association of Environmental and Resource Economists;671
Blood Reviews;672
Blood advances;673
Mathematical Programming;674
Proceedings - IEEE INFOCOM;675
Public Administration Review;676
Nous;677
Journal of Clinical Microbiology;678
Neural Networks;679
International Journal of Production Research;680
Natural Product Reports;681
Progress in Quantum Electronics;682
Diabetes;683
Evolution Letters;684
Mechanical Systems and Signal Processing;685
mBio;686
ACM Transactions on Intelligent Systems and Technology;687
Journal of Product Innovation Management;688
Environment international;689
Cytokine and Growth Factor Reviews;690
Periodontology 2000;691
Aging Cell;692
Journal of Autoimmunity;693
Journal of Teacher Education;694
Stata Journal;695
NeuroImage;696
Journal of Industrial Information Integration;697
Plant Communications;698
Omega;699
IEEE Transactions on Multimedia;700
Metabolism: Clinical and Experimental;701
Journal of World Business;702
International Journal of Plasticity;703
Swarm and Evolutionary Computation;704
American Journal of Sociology;705
Essays in Biochemistry;706
Nature reviews. Rheumatology;707
Strategic Organization;708
Journal of Photochemistry and Photobiology C: Photochemistry Reviews;709
Applied Linguistics;710
Business and Society;711
Global Ecology and Biogeography;712
IEEE Transactions on Services Computing;713
Quantum;714
Cardiovascular Research;715
Journal of Research in Science Teaching;716
Environmental Science and Technology Letters;717
Journal of Advertising;718
Journal of Clinical Periodontology;719
PLoS Genetics;720
Plant Biotechnology Journal;721
Human Resource Management;722
Journal of Anxiety Disorders;723
Cambridge Journal of Regions, Economy and Society;724
Journal of Economic Theory;725
Memoirs of the American Mathematical Society;726
Clinical Gastroenterology and Hepatology;727
Journal of Neuroscience;728
Materials Today Nano;729
Physiology;730
Critical Care Medicine;731
International Journal of Computer-Supported Collaborative Learning;732
Molecular Metabolism;733
American Journal of Gastroenterology;734
IEEE Journal of Emerging and Selected Topics in Power Electronics;735
IEEE Transactions on Signal Processing;736
Trends in Biotechnology;737
Kidney International Supplements;738
Arteriosclerosis, Thrombosis, and Vascular Biology;739
Biomaterials;740
BMC Biology;741
Nanoscale Horizons;742
Archive for Rational Mechanics and Analysis;743
EBioMedicine;744
Geometric and Functional Analysis;745
Diabetes Technology and Therapeutics;746
Neuroscience and Biobehavioral Reviews;747
Depression and Anxiety;748
Journal of Medical Virology;749
Soil Biology and Biochemistry;750
Journal of NeuroInterventional Surgery;751
Contemporary Educational Psychology;752
Cell Chemical Biology;753
American Journal of Science;754
Nature Astronomy;755
Experimental and Molecular Medicine;756
Journal of Abnormal Psychology;757
British Journal of Anaesthesia;758
Cellular and Molecular Gastroenterology and Hepatology;759
Economic Geography;760
Astrophysical Journal Letters;761
Protein and Cell;762
"Environmental Science &amp; Technology";763
Mind;764
Small Business Economics;765
Economic Policy;766
Earth's Future;767
npj Quantum Materials;768
Journal of Educational Psychology;769
Structure;770
Annual Review of Animal Biosciences;771
IEEE Transactions on Cognitive Communications and Networking;772
Bulletin of the World Health Organization;773
American Educational Research Journal;774
Wiley Interdisciplinary Reviews: Climate Change;775
Proceedings of the Annual ACM-SIAM Symposium on Discrete Algorithms;776
Cours specialises;777
American Journal of Hematology;778
GLIA;779
PLoS Pathogens;780
Journal of Big Data;781
Journal of Molecular Biology;782
Canadian Journal of Agricultural Economics;783
Resources, Conservation and Recycling;784
IEEE Transactions on Control of Network Systems;785
Annual Review of Biomedical Engineering;786
Neurology;787
NPG Asia Materials;788
Journal of Communication;789
Traffic;790
Environmental Innovation and Societal Transitions;791
Review of Environmental Economics and Policy;792
Environment and Planning D: Society and Space;793
GigaScience;794
American Heart Journal;795
Comprehensive Reviews in Food Science and Food Safety;796
Computer Science Review;797
Geometry and Topology;798
Journal of Human Resources;799
Acta Psychiatrica Scandinavica;800
Information and Management;801
Energy Research and Social Science;802
CCS Chemistry;803
Implementation Science;804
Energy Economics;805
Current Opinion in Chemical Biology;806
Journal of Consulting and Clinical Psychology;807
AIDS Patient Care and STDs;808
RNA;809
American Journal of Kidney Diseases;810
Pediatrics;811
IEEE Symposium on VLSI Circuits, Digest of Technical Papers;812
Journal of Pathology;813
Energy and AI;814
Obesity Reviews;815
Communication Monographs;816
Annual Review of Nutrition;817
Atmospheric Chemistry and Physics;818
International Journal of Research in Marketing;819
Geoscientific Model Development;820
Haematologica;821
Stochastic Systems;822
Ecography;823
American Journal of Mathematics;824
Circulation: Cardiovascular Quality and Outcomes;825
Journal of the Learning Sciences;826
Weekly epidemiological record. Releve epidemiologique hebdomadaire. World Health Organization;827
IEEE Transactions on Vehicular Technology;828
Progress in Aerospace Sciences;829
International Journal of Hospitality Management;830
Proceedings of the ACM Conference on Computer and Communications Security;831
Current Opinion in Solid State and Materials Science;832
Journal of Retailing;833
Cold Spring Harbor Perspectives in Medicine;834
Journal of Infectious Diseases;835
Clinical Psychological Science;836
American Psychologist;837
Science Bulletin;838
Wiley Interdisciplinary Reviews: Developmental Biology;839
Human Resource Management Journal;840
Anaesthesia;841
Family Business Review;842
Molecular Ecology Resources;843
International Journal of Project Management;844
Review of Economic Dynamics;845
Learning and Instruction;846
Biotechnology Advances;847
Zhonghua er ke za zhi. Chinese journal of pediatrics;848
British Journal of Surgery;849
American Statistician;850
Journal of Sustainable Tourism;851
European Respiratory Review;852
Movement Disorders;853
Journal of Heart and Lung Transplantation;854
Artificial Intelligence in Agriculture;855
Bulletin of the American Meteorological Society;856
Circulation: Arrhythmia and Electrophysiology;857
Scientific data;858
Journal of Bioresources and Bioproducts;859
Shiyou Kantan Yu Kaifa/Petroleum Exploration and Development;860
Journal of Economic Geography;861
Annual Review of Analytical Chemistry;862
Cancer;863
Psychonomic Bulletin and Review;864
Stem Cell Reports;865
Annual Review of Resource Economics;866
Educational Evaluation and Policy Analysis;867
Neurology: Neuroimmunology and NeuroInflammation;868
BJOG: An International Journal of Obstetrics and Gynaecology;869
Cardiovascular Diabetology;870
Journal of Biomedical Science;871
British Journal of Dermatology;872
Social Issues and Policy Review;873
Journal of Integrative Plant Biology;874
Circulation. Genomic and precision medicine;875
Government Information Quarterly;876
Journal of Business Ethics;877
Ageing Research Reviews;878
Engineered Science;879
Current Protocols in Microbiology;880
International Journal of Infectious Diseases;881
Schizophrenia Bulletin;882
IEEE Transactions on Knowledge and Data Engineering;883
Journal of Crohn's and Colitis;884
Computers in Industry;885
IEEE Transactions on Mobile Computing;886
Quarterly Journal of Political Science;887
Cellular and Molecular Life Sciences;888
Journal fur die Reine und Angewandte Mathematik;889
Seminars in Immunopathology;890
Work and Stress;891
Chemical Engineering Journal;892
Current Opinion in Genetics and Development;893
Political Science Research and Methods;894
Acta neuropathologica communications;895
npj Regenerative Medicine;896
JAMA Dermatology;897
Advanced Optical Materials;898
European Review of Social Psychology;899
American Journal of Public Health;900
European Journal of Personality;901
Clinical Child and Family Psychology Review;902
Trauma, Violence, and Abuse;903
Work, Employment and Society;904
IEEE Transactions on Geoscience and Remote Sensing;905
New Astronomy Reviews;906
Heart Rhythm;907
Trends in Food Science and Technology;908
Automation in Construction;909
ILR Review;910
Modern Pathology;911
Trends in Endocrinology and Metabolism;912
Journal of Machine Learning Research;913
Innovation(China);914
Compositio Mathematica;915
Public Opinion Quarterly;916
Current Opinion in Microbiology;917
European Business Review;918
Supply Chain Management;919
Frontiers in Neuroendocrinology;920
Business Horizons;921
Annual review of food science and technology;922
Work, Aging and Retirement;923
Cryosphere;924
Molecular and Cellular Proteomics;925
Theory and Research in Social Education;926
Proceedings of the VLDB Endowment;927
Journal of Democracy;928
Transactions of the Association for Computational Linguistics;929
Reviews in Medical Virology;930
Journal of Computer-Mediated Communication;931
Advances in Nonlinear Analysis;932
Studies in Second Language Acquisition;933
Space Science Reviews;934
International Journal of Engineering Science;935
Analysis and PDE;936
Journal of European Public Policy;937
Journal of Race, Ethnicity and Politics;938
Oncogene;939
Cancer Communications;940
Diabetes, Obesity and Metabolism;941
Bioresource Technology;942
European Journal of Operational Research;943
Biochimica et Biophysica Acta - Reviews on Cancer;944
Brain Stimulation;945
Developmental Cognitive Neuroscience;946
Journal of Experimental and Clinical Cancer Research;947
Journal of Peace Research;948
SIAM Journal on Computing;949
Earth and Planetary Science Letters;950
Geology;951
Geotechnique;952
Clinical journal of the American Society of Nephrology : CJASN;953
Journal of Field Robotics;954
Catalysis Reviews - Science and Engineering;955
Annales Scientifiques de l'Ecole Normale Superieure;956
Technological Forecasting and Social Change;957
Epigenetics and Chromatin;958
Work and Occupations;959
Political Psychology;960
Frontiers in Immunology;961
Plant Physiology;962
Annales de l'Institut Henri Poincare (C) Analyse Non Lineaire;963
Psychological Medicine;964
Health Psychology Review;965
Cell Reports Physical Science;966
Journal of Climate;967
Infectious Disease Modelling;968
Life Science Alliance;969
Journal of Business Research;970
Journal of Experimental Psychology: General;971
Alzheimer's Research and Therapy;972
JAMA Ophthalmology;973
Journal of Cachexia, Sarcopenia and Muscle;974
Thorax;975
Photoacoustics;976
Progress in Nuclear Magnetic Resonance Spectroscopy;977
Journal of Economic History;978
SIAM Journal on Numerical Analysis;979
Resources, Conservation and Recycling: X;980
Materials Today Physics;981
American Journal of Ophthalmology;982
Medicinal Research Reviews;983
European urology oncology;984
Biological Psychiatry: Cognitive Neuroscience and Neuroimaging;985
World Development;986
BMJ, The;987
International Journal of Operations and Production Management;988
Information Sciences;989
Communication Research;990
International Journal of Contemporary Hospitality Management;991
Social Psychological and Personality Science;992
IEEE Transactions on Power Delivery;993
Engineering Geology;994
Journal of Neuroinflammation;995
