Title;Country;Region
Annual Review of Pathology: Mechanisms of Disease;United States;Northern America
American Economic Journal: Applied Economics;United States;Northern America
Cancer Cell;United States;Northern America
Molecular Cell;United States;Northern America
Nature Cell Biology;United Kingdom;Western Europe
American Economic Journal: Macroeconomics;United States;Northern America
Lancet Diabetes and Endocrinology,The;Netherlands;Western Europe
Journal of the American College of Cardiology;United States;Northern America
Nature Microbiology;United Kingdom;Western Europe
Astronomy and Astrophysics Review;Germany;Western Europe
Annual Review of Plant Biology;United States;Northern America
Annual Review of Genetics;United States;Northern America
Journal of Economic Literature;United States;Northern America
Strategic Management Journal;United Kingdom;Western Europe
Annual Review of Condensed Matter Physics;United States;Northern America
Nature Reviews Gastroenterology and Hepatology;United Kingdom;Western Europe
Journal of Clinical Oncology;United States;Northern America
Cell Host and Microbe;United States;Northern America
Genome Biology;United Kingdom;Western Europe
Cell Metabolism;United States;Northern America
Nature Immunology;United Kingdom;Western Europe
Nature Reviews Microbiology;United Kingdom;Western Europe
Nature Reviews Physics;United Kingdom;Western Europe
Clinical Microbiology Reviews;United States;Northern America
Progress in Materials Science;United Kingdom;Western Europe
Lancet Psychiatry,The;United Kingdom;Western Europe
Lancet Global Health,The;United Kingdom;Western Europe
Advances in Physics;United Kingdom;Western Europe
Annual Review of Psychology;United States;Northern America
Advanced Materials;United States;Northern America
Annual Review of Organizational Psychology and Organizational Behavior;United States;Northern America
American Economic Journal: Economic Policy;United States;Northern America
Annals of Oncology;United Kingdom;Western Europe
Nature Reviews Endocrinology;United Kingdom;Western Europe
Reviews of Geophysics;United States;Northern America
Nature Structural and Molecular Biology;United Kingdom;Western Europe
Annual Review of Public Health;United States;Northern America
Nature Reviews Disease Primers;United Kingdom;Western Europe
Nature Chemistry;United Kingdom;Western Europe
JAMA Cardiology;United States;Northern America
Nature Electronics;United Kingdom;Western Europe
Circulation;United States;Northern America
IEEE Transactions on Pattern Analysis and Machine Intelligence;United States;Northern America
Review of Economics and Statistics;United States;Northern America
Nucleic Acids Research;United Kingdom;Western Europe
Advanced Energy Materials;Germany;Western Europe
Psychological science in the public interest : a journal of the American Psychological Society;United States;Northern America
Nature Reviews Neuroscience;United Kingdom;Western Europe
Cell Stem Cell;United States;Northern America
Gut;United Kingdom;Western Europe
Cell Research;United Kingdom;Western Europe
Journal of Economic Perspectives;United States;Northern America
Nature Reviews Neurology;United Kingdom;Western Europe
Gastroenterology;United Kingdom;Western Europe
Personality and Social Psychology Review;United States;Northern America
Academy of Management Review;United States;Northern America
NCHS data brief;United States;Northern America
Nature Physics;United Kingdom;Western Europe
Annual Review of Fluid Mechanics;United States;Northern America
Neuron;United States;Northern America
Psychological Bulletin;United States;Northern America
JAMA Oncology;United States;Northern America
Acta Crystallographica Section D: Structural Biology;United States;Northern America
EnergyChem;Netherlands;Western Europe
Advances in Optics and Photonics;United States;Northern America
Accounts of Chemical Research;United States;Northern America
Journal of Marketing;United States;Northern America
Annual Review of Clinical Psychology;United States;Northern America
Trends in Cell Biology;United Kingdom;Western Europe
ACS Energy Letters;United States;Northern America
Journal of Hepatology;Netherlands;Western Europe
Journal of Accounting and Economics;Netherlands;Western Europe
Annual Review of Neuroscience;United States;Northern America
Journal of Experimental Medicine;United States;Northern America
Annual Review of Biophysics;United States;Northern America
ACM Transactions on Graphics;United States;Northern America
Manufacturing and Service Operations Management;United States;Northern America
Journal of Management;United States;Northern America
Review of Corporate Finance Studies;United States;Northern America
Journal of Consumer Research;United Kingdom;Western Europe
Nature Protocols;United Kingdom;Western Europe
Electrochemical Energy Reviews;Germany;Western Europe
Cell Systems;United States;Northern America
Living Reviews in Solar Physics;Switzerland;Western Europe
Molecular Cancer;United Kingdom;Western Europe
Review of Educational Research;United States;Northern America
Organization Science;United States;Northern America
Endocrine Reviews;United States;Northern America
Annual Review of Economics;United States;Northern America
International Journal of Computer Vision;Netherlands;Western Europe
Progress in Energy and Combustion Science;United Kingdom;Western Europe
Physical Review X;United States;Northern America
Nature Reviews Cardiology;United Kingdom;Western Europe
Annual Review of Physiology;United States;Northern America
NBER Macroeconomics Annual;United States;Northern America
Annals of Mathematics;United States;Northern America
Fungal Diversity;Netherlands;Western Europe
Lancet Rheumatology, The;United Kingdom;Western Europe
Nature Reviews Nephrology;United Kingdom;Western Europe
Annual Review of Nuclear and Particle Science;United States;Northern America
Marketing Science;United States;Northern America
Science Robotics;United States;Northern America
Genes and Development;United States;Northern America
Diabetes Care;United States;Northern America
Molecular Systems Biology;United States;Northern America
Journal of Applied Psychology;United States;Northern America
Materials Science and Engineering: R: Reports;Netherlands;Western Europe
Annual Review of Microbiology;United States;Northern America
Annual Review of Cell and Developmental Biology;United States;Northern America
Annals of Statistics;United States;Northern America
Physics Reports;Netherlands;Western Europe
IEEE Journal on Selected Areas in Communications;United States;Northern America
Materials Today;Netherlands;Western Europe
JAMA Neurology;United States;Northern America
Journal of the Royal Statistical Society. Series B: Statistical Methodology;United Kingdom;Western Europe
Annual Review of Ecology, Evolution, and Systematics;United States;Northern America
Trends in Cognitive Sciences;United Kingdom;Western Europe
Nature Metabolism;Germany;Western Europe
Nature Cancer;United States;Northern America
European Urology;Netherlands;Western Europe
Systematic Biology;United Kingdom;Western Europe
Nature Climate Change;United Kingdom;Western Europe
Annual Review of Entomology;United States;Northern America
Cancer Discovery;United States;Northern America
IEEE Transactions on Evolutionary Computation;United States;Northern America
JAMA - Journal of the American Medical Association;United States;Northern America
Chem;United States;Northern America
IEEE Wireless Communications;United States;Northern America
Lancet Digital Health, The;United Kingdom;Western Europe
Progress in Retinal and Eye Research;United Kingdom;Western Europe
Cell Reports Medicine;United States;Northern America
American Journal of Respiratory and Critical Care Medicine;United States;Northern America
American Sociological Review;United States;Northern America
Lancet Gastroenterology and Hepatology, The;United Kingdom;Western Europe
Journal of Accounting Research;United Kingdom;Western Europe
JACC: Cardiovascular Imaging;United States;Northern America
Progress in Polymer Science;United Kingdom;Western Europe
Journal of Business Venturing;United States;Northern America
American Political Science Review;United Kingdom;Western Europe
Nature Sustainability;United Kingdom;Western Europe
JAMA Internal Medicine;United States;Northern America
Reports on Progress in Physics;United Kingdom;Western Europe
Journal of the American Chemical Society;United States;Northern America
Genome Research;United States;Northern America
American Economic Journal: Microeconomics;United States;Northern America
Ecology Letters;United Kingdom;Western Europe
Annual Review of Genomics and Human Genetics;United States;Northern America
Nature Biomedical Engineering;United States;Northern America
EMBO Journal;Germany;Western Europe
Current Protocols in Bioinformatics;United States;Northern America
Nature Chemical Biology;United Kingdom;Western Europe
JAMA Psychiatry;United States;Northern America
Vital and health statistics. Series 2, Data evaluation and methods research;United States;Northern America
Pharmacological Reviews;United States;Northern America
Journal of the European Economic Association;United States;Northern America
Nature Ecology and Evolution;United States;Northern America
Journal of Clinical Investigation;United States;Northern America
MMWR supplements;United States;Northern America
Science Translational Medicine;United States;Northern America
Light: Science and Applications;United Kingdom;Western Europe
JACC: Heart Failure;Netherlands;Western Europe
Annual Review of Political Science;United States;Northern America
Zhonghua fu chan ke za zhi;China;Asiatic Region
Trends in Ecology and Evolution;United Kingdom;Western Europe
Cement and Concrete Research;United Kingdom;Western Europe
Annual Review of Sociology;United States;Northern America
Journal of Labor Economics;United States;Northern America
Journal of the American Mathematical Society;United States;Northern America
Journal of Marketing Research;United States;Northern America
Annual Review of Financial Economics;United States;Northern America
Annals of the Rheumatic Diseases;United Kingdom;Western Europe
Nature Geoscience;United Kingdom;Western Europe
Molecular Biology and Evolution;United Kingdom;Western Europe
Lancet HIV,The;United Kingdom;Western Europe
Psychological Methods;United States;Northern America
Studies in Mycology;Netherlands;Western Europe
IEEE Transactions on Smart Grid;United States;Northern America
Journal of Business and Economic Statistics;United Kingdom;Western Europe
Hepatology;United States;Northern America
European Journal of Heart Failure;United States;Northern America
Annual Review of Medicine;United States;Northern America
Nature Human Behaviour;United Kingdom;Western Europe
Acta Neuropathologica;Germany;Western Europe
Advances in Computers;United States;Northern America
Organizational Research Methods;United States;Northern America
Lancet Haematology,The;United Kingdom;Western Europe
Journal of Financial Intermediation;United States;Northern America
Signal Transduction and Targeted Therapy;United Kingdom;Western Europe
IEEE Communications Magazine;United States;Northern America
Angewandte Chemie - International Edition;United Kingdom;Western Europe
Economic Journal;United States;Northern America
Management Science;United States;Northern America
ACM Computing Surveys;United States;Northern America
Journal of Public Economics;Netherlands;Western Europe
Personnel Psychology;United States;Northern America
Human Reproduction Update;United Kingdom;Western Europe
Genome Medicine;United Kingdom;Western Europe
Alzheimer's and Dementia;United States;Northern America
Strategy Science;United States;Northern America
IEEE Network;United States;Northern America
Review of Asset Pricing Studies;United States;Northern America
American Journal of Human Genetics;United States;Northern America
Trends in Chemistry;United States;Northern America
Journal of Infection;United Kingdom;Western Europe
Brookings Papers on Economic Activity;United States;Northern America
Progress in Particle and Nuclear Physics;Netherlands;Western Europe
Advanced Functional Materials;Germany;Western Europe
Advances in Methods and Practices in Psychological Science;United States;Northern America
American Journal of Political Science;United Kingdom;Western Europe
Leadership Quarterly;United States;Northern America
Wiley Interdisciplinary Reviews: Computational Molecular Science;United States;Northern America
Med;United States;Northern America
Nature Plants;United Kingdom;Western Europe
Trends in Immunology;United Kingdom;Western Europe
Publications Mathematiques de l'Institut des Hautes Etudes Scientifiques;Germany;Western Europe
Journal of Extracellular Vesicles;United States;Northern America
Energy Storage Materials;Netherlands;Western Europe
Nature Communications;United Kingdom;Western Europe
Cell Reports;United States;Northern America
Annual Review of Virology;United States;Northern America
Strategic Entrepreneurship Journal;United States;Northern America
Blood;United States;Northern America
Analytic Methods in Accident Research;United Kingdom;Western Europe
Annual Review of Marine Science;United States;Northern America
Immunological Reviews;United Kingdom;Western Europe
Digest of Technical Papers - IEEE International Solid-State Circuits Conference;United States;Northern America
Journal of Monetary Economics;Netherlands;Western Europe
Journal of the National Cancer Institute;United Kingdom;Western Europe
eLife;United Kingdom;Western Europe
Journal of Thoracic Oncology;United States;Northern America
Applied Physics Reviews;United States;Northern America
Cold Spring Harbor perspectives in biology;United States;Northern America
Molecular Neurodegeneration;United Kingdom;Western Europe
Radiology: Artificial Intelligence;United States;Northern America
Annual Review of Materials Research;United States;Northern America
Political Analysis;United Kingdom;Western Europe
Circulation Research;United States;Northern America
Developmental Cell;United States;Northern America
IEEE Signal Processing Magazine;United States;Northern America
Nano Energy;Netherlands;Western Europe
Proceedings of the IEEE;United States;Northern America
Accounting Review;United States;Northern America
Annual Review of Environment and Resources;United States;Northern America
EClinicalMedicine;United Kingdom;Western Europe
IEEE Transactions on Power Systems;United States;Northern America
Journal of Management Studies;United Kingdom;Western Europe
Annals of Internal Medicine;United States;Northern America
Psychological Science in the Public Interest, Supplement;United States;Northern America
ACS Nano;United States;Northern America
Nature Machine Intelligence;Switzerland;Western Europe
Protein Science;United States;Northern America
Radiology;United States;Northern America
Journal of the American Society of Nephrology : JASN;United States;Northern America
Science advances;United States;Northern America
International Journal of Information Management;United Kingdom;Western Europe
Brain;United Kingdom;Western Europe
Perspectives on Psychological Science;United States;Northern America
Information Fusion;Netherlands;Western Europe
Trends in Genetics;United Kingdom;Western Europe
Inventiones Mathematicae;Germany;Western Europe
Annual Review of Earth and Planetary Sciences;United States;Northern America
Carbon Energy;United States;Northern America
IEEE Transactions on Cybernetics;United States;Northern America
MIS Quarterly: Management Information Systems;United States;Northern America
Applied Catalysis B: Environmental;Netherlands;Western Europe
Clinical Psychology Review;United States;Northern America
Ultrasound in Obstetrics and Gynecology;United Kingdom;Western Europe
Coordination Chemistry Reviews;Netherlands;Western Europe
IEEE Transactions on Wireless Communications;United States;Northern America
American Journal of Psychiatry;United States;Northern America
Journal of the Academy of Marketing Science;United States;Northern America
Eurosurveillance;Sweden;Western Europe
Ophthalmology;United States;Northern America
Acta Mathematica;Netherlands;Western Europe
Journal of the American Statistical Association;United Kingdom;Western Europe
Clinical Cancer Research;United States;Northern America
Clinical Infectious Diseases;United Kingdom;Western Europe
Microbiome;United Kingdom;Western Europe
Journal of International Business Studies;United Kingdom;Western Europe
Molecular Psychiatry;United Kingdom;Western Europe
Lancet Child and Adolescent Health, The;Netherlands;Western Europe
Lancet Healthy Longevity, The;United Kingdom;Western Europe
Journal of Management Information Systems;United States;Northern America
Biological Reviews;United States;Northern America
Psychological Review;United States;Northern America
Intensive Care Medicine;Germany;Western Europe
European Respiratory Journal;Switzerland;Western Europe
IEEE Transactions on Industrial Informatics;United States;Northern America
Cell Discovery;United Kingdom;Western Europe
Nature Reviews Earth and Environment;Switzerland;Western Europe
Journal of Hematology and Oncology;United Kingdom;Western Europe
Biological Psychiatry;United States;Northern America
IEEE Transactions on Neural Networks and Learning Systems;United States;Northern America
Molecular Plant;United States;Northern America
ACS Catalysis;United States;Northern America
Progress in Human Geography;United Kingdom;Western Europe
Microbiology and Molecular Biology Reviews;United States;Northern America
IEEE Journal of Solid-State Circuits;United States;Northern America
Proceedings of the National Academy of Sciences of the United States of America;United States;Northern America
PLoS Medicine;United States;Northern America
IEEE Transactions on Automatic Control;United States;Northern America
Medical Image Analysis;Netherlands;Western Europe
Optica;United States;Northern America
IEEE Transactions on Sustainable Energy;United States;Northern America
Current Climate Change Reports;Switzerland;Western Europe
European Heart Journal;United Kingdom;Western Europe
Annual Review of Criminology;United States;Northern America
ACS Central Science;United States;Northern America
Trends in Biochemical Sciences;United Kingdom;Western Europe
IEEE Transactions on Fuzzy Systems;United States;Northern America
Academy of Management Perspectives;United States;Northern America
Trends in Neurosciences;United Kingdom;Western Europe
Kidney International;United States;Northern America
Acta Numerica;United Kingdom;Western Europe
Wiley interdisciplinary reviews. RNA;United States;Northern America
IEEE Transactions on Medical Imaging;United States;Northern America
EMBO Molecular Medicine;United Kingdom;Western Europe
FEMS Microbiology Reviews;United Kingdom;Western Europe
Psychotherapy and Psychosomatics;Switzerland;Western Europe
JAMA network open;United States;Northern America
IEEE Transactions on Image Processing;United States;Northern America
Leukemia;United Kingdom;Western Europe
Health Affairs;United States;Northern America
Journal of Strategic Information Systems;Netherlands;Western Europe
Journal of Service Research;United States;Northern America
Annual Review of Pharmacology and Toxicology;United States;Northern America
Review of Accounting Studies;United States;Northern America
Advanced Science;Germany;Western Europe
Journal of Cell Biology;United States;Northern America
Matter;United States;Northern America
Nano-Micro Letters;Netherlands;Western Europe
PLoS Biology;United States;Northern America
European Journal of Epidemiology;Netherlands;Western Europe
Annual Review of Phytopathology;United States;Northern America
Internet and Higher Education;United Kingdom;Western Europe
Nano Today;Netherlands;Western Europe
IEEE Vehicular Technology Magazine;United States;Northern America
Annual Review of Cancer Biology;United States;Northern America
Journal of Organizational Behavior;United Kingdom;Western Europe
Annals of Neurology;United States;Northern America
Research in Organizational Behavior;United Kingdom;Western Europe
British Journal of Sports Medicine;United Kingdom;Western Europe
Remote Sensing of Environment;United States;Northern America
Organization Studies;United Kingdom;Western Europe
International Journal of Management Reviews;United Kingdom;Western Europe
IEEE Internet of Things Journal;United States;Northern America
Drug Resistance Updates;United States;Northern America
Foundations and Trends in Computer Graphics and Vision;United States;Northern America
Information Systems Research;United States;Northern America
Journal of Thrombosis and Haemostasis;United Kingdom;Western Europe
Journal of Public Administration Research and Theory;United Kingdom;Western Europe
Journal of Allergy and Clinical Immunology;United States;Northern America
Sports Medicine;Switzerland;Western Europe
Review of Finance;United Kingdom;Western Europe
Automatica;United Kingdom;Western Europe
California Management Review;United States;Northern America
Nano Letters;United States;Northern America
Annual Reviews in Control;United Kingdom;Western Europe
Plant Cell;United States;Northern America
Econometrics Journal;United Kingdom;Western Europe
Persoonia: Molecular Phylogeny and Evolution of Fungi;Netherlands;Western Europe
Communication Methods and Measures;United States;Northern America
Journal of Personality and Social Psychology;United States;Northern America
Energy and Environmental Materials;United States;Northern America
Global Change Biology;United Kingdom;Western Europe
Renewable and Sustainable Energy Reviews;United Kingdom;Western Europe
Computers and Education;United Kingdom;Western Europe
Emerging Infectious Diseases;United States;Northern America
Small Methods;United Kingdom;Western Europe
Materials Horizons;United Kingdom;Western Europe
Earth System Science Data;Germany;Western Europe
JCI insight;United States;Northern America
Journal of Advances in Modeling Earth Systems;United States;Northern America
Limnology And Oceanography Letters;United States;Northern America
Cancer Immunology Research;United States;Northern America
Information and Organization;United Kingdom;Western Europe
Journal of Interactive Marketing;United States;Northern America
Operations Research;United States;Northern America
Earth-Science Reviews;Netherlands;Western Europe
International Organization;United Kingdom;Western Europe
JACC: Cardiovascular Interventions;United States;Northern America
IEEE Computational Intelligence Magazine;United States;Northern America
Foundations and Trends in Theoretical Computer Science;United States;Northern America
Ecological Monographs;United States;Northern America
Journal of the American Academy of Child and Adolescent Psychiatry;United Kingdom;Western Europe
Journal of Travel Medicine;United Kingdom;Western Europe
Journal of International Economics;Netherlands;Western Europe
Current Opinion in Cell Biology;United Kingdom;Western Europe
JAMA Surgery;United States;Northern America
Cell Death and Differentiation;United Kingdom;Western Europe
Current Opinion in Neurobiology;United Kingdom;Western Europe
Journal of Financial and Quantitative Analysis;United Kingdom;Western Europe
Quantitative Economics;United States;Northern America
Trends in Microbiology;United Kingdom;Western Europe
Educational Psychologist;United States;Northern America
Research Policy;Netherlands;Western Europe
Annals of Surgery;United States;Northern America
Diabetologia;Germany;Western Europe
Surface Science Reports;Netherlands;Western Europe
Journal of Econometrics;Netherlands;Western Europe
IEEE Transactions on Industrial Electronics;United States;Northern America
Matrix Biology;Netherlands;Western Europe
Journal of Economic Growth;United States;Northern America
Developmental Review;United States;Northern America
Trends in Plant Science;United Kingdom;Western Europe
ISPRS Journal of Photogrammetry and Remote Sensing;Netherlands;Western Europe
Digital Journalism;United Kingdom;Western Europe
Journal of Environmental Economics and Management;United States;Northern America
Circulation: Heart Failure;United States;Northern America
IEEE Transactions on Robotics;United States;Northern America
Trends in Cancer;United States;Northern America
JAMA Pediatrics;United States;Northern America
Journal for ImmunoTherapy of Cancer;United Kingdom;Western Europe
IEEE Transactions on Systems, Man, and Cybernetics: Systems;United States;Northern America
Evidence-Based Mental Health;United Kingdom;Western Europe
BMC Medicine;United Kingdom;Western Europe
International Journal of Robotics Research;United States;Northern America
Bioinformatics;United Kingdom;Western Europe
Criminology;United States;Northern America
Hypertension;United States;Northern America
Forum of Mathematics, Pi;United Kingdom;Western Europe
Lancet Planetary Health, The;Netherlands;Western Europe
Trends in Pharmacological Sciences;United Kingdom;Western Europe
npj Quantum Information;United Kingdom;Western Europe
Tourism Management;United Kingdom;Western Europe
Proceedings of the Annual ACM Symposium on Theory of Computing;United States;Northern America
Educational Researcher;United States;Northern America
Transportation Research Part B: Methodological;United Kingdom;Western Europe
Political Communication;United Kingdom;Western Europe
International journal of oral science;China;Asiatic Region
Journal of Operations Management;Netherlands;Western Europe
Journal of Clinical Virology;Netherlands;Western Europe
Entrepreneurship Theory and Practice;United States;Northern America
International Review of Sport and Exercise Psychology;United Kingdom;Western Europe
Seminars in Immunology;United States;Northern America
ISME Journal;United Kingdom;Western Europe
Production and Operations Management;United States;Northern America
Foundations and Trends in Information Retrieval;United States;Northern America
IEEE Transactions on Power Electronics;United States;Northern America
npj Digital Medicine;United Kingdom;Western Europe
Emerging Microbes and Infections;United Kingdom;Western Europe
SIAM Review;United States;Northern America
Current Opinion in Structural Biology;United Kingdom;Western Europe
American Journal of Transplantation;United Kingdom;Western Europe
Structural Equation Modeling;United Kingdom;Western Europe
IEEE Transactions on Information Forensics and Security;United States;Northern America
Journal of Travel Research;United Kingdom;Western Europe
Foundations and Trends in Systems and Control;United States;Northern America
Innovation Policy and the Economy;United States;Northern America
Synthesis Lectures on Artificial Intelligence and Machine Learning;United States;Northern America
IEEE Transactions on Affective Computing;United States;Northern America
Journal of the National Comprehensive Cancer Network : JNCCN;United States;Northern America
Journal of Development Economics;Netherlands;Western Europe
Autophagy;United States;Northern America
Educational Psychology Review;United States;Northern America
Journal of Differential Geometry;United States;Northern America
Mucosal Immunology;United Kingdom;Western Europe
Physical Review Letters;United States;Northern America
Stroke;United States;Northern America
Protection and Control of Modern Power Systems;Singapore;Asiatic Region
Long Range Planning;United Kingdom;Western Europe
Comparative Political Studies;United States;Northern America
IEEE Journal on Selected Topics in Signal Processing;United States;Northern America
Molecular Aspects of Medicine;United Kingdom;Western Europe
Small;Germany;Western Europe
Blood Cancer Journal;United States;Northern America
Critical Care;United Kingdom;Western Europe
Cancer Treatment Reviews;United Kingdom;Western Europe
Transportation Research Part C: Emerging Technologies;United Kingdom;Western Europe
Arthritis and Rheumatology;United Kingdom;Western Europe
Radiocarbon;United States;Northern America
Journal of Internal Medicine;United Kingdom;Western Europe
Frontiers in Ecology and the Environment;United States;Northern America
EMBO Reports;United States;Northern America
Epidemiologic Reviews;United Kingdom;Western Europe
Biometrika;United Kingdom;Western Europe
Laser and Photonics Reviews;Germany;Western Europe
Mathematical Programming Computation;Germany;Western Europe
Annual Review of Physical Chemistry;United States;Northern America
Autoimmunity Reviews;Netherlands;Western Europe
International Journal of Machine Tools and Manufacture;United Kingdom;Western Europe
Global Environmental Change;United Kingdom;Western Europe
Journal of Child Psychology and Psychiatry and Allied Disciplines;United Kingdom;Western Europe
Annals of Tourism Research;United Kingdom;Western Europe
Science Signaling;United States;Northern America
npj 2D Materials and Applications;United Kingdom;Western Europe
npj Climate and Atmospheric Science;United States;Northern America
Computer-Aided Civil and Infrastructure Engineering;United Kingdom;Western Europe
Trends in Molecular Medicine;United Kingdom;Western Europe
Allergy: European Journal of Allergy and Clinical Immunology;United Kingdom;Western Europe
Pattern Recognition;United Kingdom;Western Europe
Clinical Microbiology and Infection;United Kingdom;Western Europe
Journal of Clinical Epidemiology;United States;Northern America
IEEE Transactions on Communications;United States;Northern America
Annual Review of Statistics and Its Application;United States;Northern America
Communications on Pure and Applied Mathematics;United States;Northern America
Journal of Materials Chemistry A;United Kingdom;Western Europe
Current Directions in Psychological Science;United States;Northern America
Neuro-Oncology;United Kingdom;Western Europe
International Journal of Press/Politics;United States;Northern America
Modern Language Journal;United States;Northern America
Journal of Business and Psychology;United States;Northern America
Current Opinion in Plant Biology;United Kingdom;Western Europe
Pharmacology and Therapeutics;United States;Northern America
Astrophysical Journal, Supplement Series;United Kingdom;Western Europe
Cancer Research;United States;Northern America
Sociological Science;United States;Northern America
Educational Research Review;United Kingdom;Western Europe
Molecular Therapy;United States;Northern America
Applied Energy;United Kingdom;Western Europe
Transport Reviews;United Kingdom;Western Europe
Nuclear Data Sheets;United States;Northern America
New Media and Society;United Kingdom;Western Europe
Journal of Consumer Psychology;United States;Northern America
Progress in Neurobiology;United Kingdom;Western Europe
National Health Statistics Reports;United States;Northern America
Circulation: Cardiovascular Interventions;United States;Northern America
Brain, Behavior, and Immunity;United States;Northern America
Annual Review of Vision Science;United States;Northern America
RAND Journal of Economics;United States;Northern America
Journal of Supply Chain Management;United States;Northern America
Briefings in Bioinformatics;United Kingdom;Western Europe
Journal of Politics;United Kingdom;Western Europe
Soft Robotics;United States;Northern America
Psychological Science;United States;Northern America
SIAM Journal on Optimization;United States;Northern America
Contemporary Accounting Research;United States;Northern America
Journal of Occupational Health Psychology;United States;Northern America
New Phytologist;United Kingdom;Western Europe
Critical Reviews in Biochemistry and Molecular Biology;United Kingdom;Western Europe
Methods in Ecology and Evolution;United States;Northern America
Language Learning;United Kingdom;Western Europe
International Materials Reviews;United Kingdom;Western Europe
npj Computational Materials;United Kingdom;Western Europe
Science Education;United States;Northern America
ACS Materials Letters;United States;Northern America
Cellular and Molecular Immunology;United Kingdom;Western Europe
Annals of Probability;United States;Northern America
npj Vaccines;United Kingdom;Western Europe
Investigative Radiology;United States;Northern America
Journal of Manufacturing Systems;Netherlands;Western Europe
American Journal of Obstetrics and Gynecology;United States;Northern America
EcoSal Plus;United States;Northern America
Journal of Applied Econometrics;United Kingdom;Western Europe
Advanced Drug Delivery Reviews;Netherlands;Western Europe
Sociology of Education;United States;Northern America
Chemistry of Materials;United States;Northern America
Review of Research in Education;United States;Northern America
Conservation Letters;United States;Northern America
Journal of Neurology, Neurosurgery and Psychiatry;United Kingdom;Western Europe
Quarterly Journal of the Royal Meteorological Society;United States;Northern America
British Journal of Political Science;United Kingdom;Western Europe
Current Opinion in Immunology;United Kingdom;Western Europe
Sleep Medicine Reviews;United Kingdom;Western Europe
Seminars in Cancer Biology;United States;Northern America
Journal of the European Mathematical Society;Germany;Western Europe
Research on Language and Social Interaction;United States;Northern America
Research Synthesis Methods;United Kingdom;Western Europe
Theoretical Economics;United States;Northern America
Current Biology;United States;Northern America
Human Relations;United Kingdom;Western Europe
Philosophical Review, The;United States;Northern America
Wiley Interdisciplinary Reviews: Data Mining and Knowledge Discovery;United States;Northern America
npj Flexible Electronics;United Kingdom;Western Europe
Cement and Concrete Composites;United Kingdom;Western Europe
Development (Cambridge);United Kingdom;Western Europe
Quantitative Marketing and Economics;Netherlands;Western Europe
Mycosphere;China;Asiatic Region
JACC: Basic to Translational Science;United States;Northern America
Chemical Science;United Kingdom;Western Europe
Genetics in Medicine;United States;Northern America
Behavior Research Methods;United States;Northern America
IUCrJ;United Kingdom;Western Europe
