Title;Categories
Morbidity and Mortality Weekly Report;"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)"
Journal of Finance;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)"
Lancet, The;Medicine (miscellaneous) (Q1)
Review of Economic Studies;Economics and Econometrics (Q1)
Academy of Management Annals;"Business and International Management (Q1); Organizational Behavior and Human Resource Management (Q1)"
Science;"History and Philosophy of Science (Q1); Multidisciplinary (Q1)"
Chemical Society Reviews;Chemistry (miscellaneous) (Q1)
Immunity;"Immunology (Q1); Immunology and Allergy (Q1); Infectious Diseases (Q1)"
Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition;"Computer Vision and Pattern Recognition; Software"
IEEE Communications Surveys and Tutorials;Electrical and Electronic Engineering (Q1)
Lancet Microbe, The;"Infectious Diseases (Q1); Microbiology (Q1); Microbiology (medical) (Q1); Virology (Q1)"
Foundations and Trends in Machine Learning;"Artificial Intelligence (Q1); Human-Computer Interaction (Q1); Software (Q1)"
Econometrica;Economics and Econometrics (Q1)
Annual Review of Biochemistry;Biochemistry (Q1)
Physiological Reviews;"Medicine (miscellaneous) (Q1); Molecular Biology (Q1); Physiology (Q1); Physiology (medical) (Q1)"
World Psychiatry;Psychiatry and Mental Health (Q1)
Nature Catalysis;"Biochemistry (Q1); Bioengineering (Q1); Catalysis (Q1); Process Chemistry and Technology (Q1)"
Annual Review of Astronomy and Astrophysics;"Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1)"
Living Reviews in Relativity;Physics and Astronomy (miscellaneous) (Q1)
Nature Materials;"Chemistry (miscellaneous) (Q1); Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)"
Nature Methods;"Biochemistry (Q1); Biotechnology (Q1); Cell Biology (Q1); Molecular Biology (Q1)"
Nature Neuroscience;Neuroscience (miscellaneous) (Q1)
Science immunology;"Immunology (Q1); Immunology and Allergy (Q1)"
Nature Reviews Chemistry;"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1)"
Nature Reviews Clinical Oncology;Oncology (Q1)
Lancet Oncology, The;Oncology (Q1)
Nature Nanotechnology;"Atomic and Molecular Physics, and Optics (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Condensed Matter Physics (Q1); Electrical and Electronic Engineering (Q1); Materials Science (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1)"
Lancet Neurology, The;Neurology (clinical) (Q1)
Review of Financial Studies;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)"
Energy and Environmental Science;"Environmental Chemistry (Q1); Nuclear Energy and Engineering (Q1); Pollution (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
Lancet Public Health, The;Public Health, Environmental and Occupational Health (Q1)
Nature Reviews Drug Discovery;"Drug Discovery (Q1); Medicine (miscellaneous) (Q1); Pharmacology (Q1)"
Lancet Respiratory Medicine,The;Pulmonary and Respiratory Medicine (Q1)
Nature Photonics;"Atomic and Molecular Physics, and Optics (Q1); Electronic, Optical and Magnetic Materials (Q1)"
Academy of Management Journal;"Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
Joule;Energy (miscellaneous) (Q1)
Journal of Financial Economics;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1); Strategy and Management (Q1)"
Lancet Infectious Diseases, The;Infectious Diseases (Q1)
MMWR Surveillance Summaries;"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1)"
Annual Review of Pathology: Mechanisms of Disease;"Medicine (miscellaneous) (Q1); Pathology and Forensic Medicine (Q1); Plant Science (Q1)"
American Economic Journal: Applied Economics;Economics, Econometrics and Finance (miscellaneous) (Q1)
Cancer Cell;"Cancer Research (Q1); Cell Biology (Q1); Oncology (Q1)"
Molecular Cell;"Cell Biology (Q1); Molecular Biology (Q1)"
Nature Cell Biology;Cell Biology (Q1)
American Economic Journal: Macroeconomics;Economics, Econometrics and Finance (miscellaneous) (Q1)
Lancet Diabetes and Endocrinology,The;"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1); Internal Medicine (Q1)"
Journal of the American College of Cardiology;Cardiology and Cardiovascular Medicine (Q1)
Nature Microbiology;"Applied Microbiology and Biotechnology (Q1); Cell Biology (Q1); Genetics (Q1); Immunology (Q1); Microbiology (Q1); Microbiology (medical) (Q1)"
Astronomy and Astrophysics Review;"Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1)"
Annual Review of Plant Biology;"Cell Biology (Q1); Molecular Biology (Q1); Physiology (Q1); Plant Science (Q1)"
Annual Review of Genetics;Genetics (Q1)
Journal of Economic Literature;Economics and Econometrics (Q1)
Strategic Management Journal;"Business and International Management (Q1); Strategy and Management (Q1)"
Annual Review of Condensed Matter Physics;"Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1)"
Nature Reviews Gastroenterology and Hepatology;"Gastroenterology (Q1); Hepatology (Q1)"
Journal of Clinical Oncology;"Cancer Research (Q1); Medicine (miscellaneous) (Q1); Oncology (Q1)"
Cell Host and Microbe;"Cancer Research (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Microbiology (Q1); Molecular Biology (Q1); Parasitology (Q1); Virology (Q1)"
Genome Biology;"Cell Biology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1)"
Cell Metabolism;"Cell Biology (Q1); Molecular Biology (Q1); Physiology (Q1)"
Nature Immunology;"Immunology (Q1); Immunology and Allergy (Q1)"
Nature Reviews Microbiology;"Immunology and Microbiology (miscellaneous)  (Q1); Infectious Diseases (Q1); Microbiology (Q1)"
Nature Reviews Physics;Physics and Astronomy (miscellaneous) (Q1)
Clinical Microbiology Reviews;"Epidemiology (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Infectious Diseases (Q1); Microbiology (medical) (Q1); Public Health, Environmental and Occupational Health (Q1)"
Progress in Materials Science;Materials Science (miscellaneous) (Q1)
Lancet Psychiatry,The;"Biological Psychiatry (Q1); Psychiatry and Mental Health (Q1)"
Lancet Global Health,The;Medicine (miscellaneous) (Q1)
Advances in Physics;Condensed Matter Physics (Q1)
Annual Review of Psychology;Psychology (miscellaneous) (Q1)
Advanced Materials;"Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1); Nanoscience and Nanotechnology (Q1)"
Annual Review of Organizational Psychology and Organizational Behavior;"Applied Psychology (Q1); Organizational Behavior and Human Resource Management (Q1); Social Psychology (Q1)"
American Economic Journal: Economic Policy;Economics, Econometrics and Finance (miscellaneous) (Q1)
Annals of Oncology;"Hematology (Q1); Medicine (miscellaneous) (Q1); Oncology (Q1)"
Nature Reviews Endocrinology;"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1)"
Reviews of Geophysics;Geophysics (Q1)
Nature Structural and Molecular Biology;"Molecular Biology (Q1); Structural Biology (Q1)"
Annual Review of Public Health;"Medicine (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1)"
Nature Reviews Disease Primers;Medicine (miscellaneous) (Q1)
Nature Chemistry;"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1)"
JAMA Cardiology;Cardiology and Cardiovascular Medicine (Q1)
Nature Electronics;"Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Instrumentation (Q1)"
Circulation;"Cardiology and Cardiovascular Medicine (Q1); Physiology (medical) (Q1)"
IEEE Transactions on Pattern Analysis and Machine Intelligence;"Applied Mathematics (Q1); Artificial Intelligence (Q1); Computational Theory and Mathematics (Q1); Computer Vision and Pattern Recognition (Q1); Software (Q1)"
Review of Economics and Statistics;"Economics and Econometrics (Q1); Social Sciences (miscellaneous) (Q1)"
Nucleic Acids Research;Genetics (Q1)
Advanced Energy Materials;"Materials Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
Psychological science in the public interest : a journal of the American Psychological Society;Medicine (miscellaneous) (Q1)
Nature Reviews Neuroscience;Neuroscience (miscellaneous) (Q1)
Cell Stem Cell;"Cell Biology (Q1); Genetics (Q1); Molecular Medicine (Q1)"
Gut;Gastroenterology (Q1)
Cell Research;"Cell Biology (Q1); Molecular Biology (Q1)"
Journal of Economic Perspectives;Economics and Econometrics (Q1)
Nature Reviews Neurology;"Cellular and Molecular Neuroscience (Q1); Neurology (clinical) (Q1)"
Gastroenterology;"Gastroenterology (Q1); Hepatology (Q1)"
Personality and Social Psychology Review;Social Psychology (Q1)
Academy of Management Review;"Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
NCHS data brief;Medicine (miscellaneous) (Q1)
Nature Physics;Physics and Astronomy (miscellaneous) (Q1)
Annual Review of Fluid Mechanics;Condensed Matter Physics (Q1)
Neuron;Neuroscience (miscellaneous) (Q1)
Psychological Bulletin;"History and Philosophy of Science (Q1); Psychology (miscellaneous) (Q1)"
JAMA Oncology;"Cancer Research (Q1); Oncology (Q1)"
Acta Crystallographica Section D: Structural Biology;Structural Biology (Q1)
EnergyChem;"Biomaterials (Q1); Chemistry (miscellaneous) (Q1); Energy (miscellaneous) (Q1)"
Advances in Optics and Photonics;"Atomic and Molecular Physics, and Optics (Q1); Water Science and Technology (Q1)"
Accounts of Chemical Research;"Chemistry (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)"
Journal of Marketing;"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)"
Annual Review of Clinical Psychology;"Clinical Psychology (Q1); Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1)"
Trends in Cell Biology;Cell Biology (Q1)
ACS Energy Letters;"Chemistry (miscellaneous) (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Materials Chemistry (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
Journal of Hepatology;Hepatology (Q1)
Journal of Accounting and Economics;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)"
Annual Review of Neuroscience;Neuroscience (miscellaneous) (Q1)
Journal of Experimental Medicine;"Immunology (Q1); Immunology and Allergy (Q1); Medicine (miscellaneous) (Q1)"
Annual Review of Biophysics;"Biochemistry (Q1); Bioengineering (Q1); Biophysics (Q1); Cell Biology (Q1); Structural Biology (Q1)"
ACM Transactions on Graphics;Computer Graphics and Computer-Aided Design (Q1)
Manufacturing and Service Operations Management;"Management Science and Operations Research (Q1); Strategy and Management (Q1)"
Journal of Management;"Finance (Q1); Strategy and Management (Q1)"
Review of Corporate Finance Studies;"Business and International Management (Q1); Economics and Econometrics (Q1); Finance (Q1)"
Journal of Consumer Research;"Anthropology (Q1); Arts and Humanities (miscellaneous) (Q1); Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)"
Nature Protocols;Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)
Electrochemical Energy Reviews;"Chemical Engineering (miscellaneous) (Q1); Electrochemistry (Q1); Energy Engineering and Power Technology (Q1); Materials Science (miscellaneous) (Q1)"
Cell Systems;"Cell Biology (Q1); Histology (Q1); Pathology and Forensic Medicine (Q1)"
Living Reviews in Solar Physics;"Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1)"
Molecular Cancer;"Cancer Research (Q1); Molecular Medicine (Q1); Oncology (Q1)"
Review of Educational Research;Education (Q1)
Organization Science;"Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1)"
Endocrine Reviews;"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1)"
Annual Review of Economics;Economics and Econometrics (Q1)
International Journal of Computer Vision;"Artificial Intelligence (Q1); Computer Vision and Pattern Recognition (Q1); Software (Q1)"
Progress in Energy and Combustion Science;"Chemical Engineering (miscellaneous) (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1)"
Physical Review X;Physics and Astronomy (miscellaneous) (Q1)
Nature Reviews Cardiology;Cardiology and Cardiovascular Medicine (Q1)
Annual Review of Physiology;Physiology (Q1)
NBER Macroeconomics Annual;Economics and Econometrics (Q1)
Annals of Mathematics;"Mathematics (miscellaneous) (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)"
Fungal Diversity;"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Plant Science (Q1)"
Lancet Rheumatology, The;"Immunology (Q1); Immunology and Allergy (Q1); Rheumatology (Q1)"
Nature Reviews Nephrology;Nephrology (Q1)
Annual Review of Nuclear and Particle Science;Nuclear and High Energy Physics (Q1)
Marketing Science;"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)"
Science Robotics;"Artificial Intelligence (Q1); Computer Science Applications (Q1); Control and Optimization (Q1); Mechanical Engineering (Q1)"
Genes and Development;"Developmental Biology (Q1); Genetics (Q1)"
Diabetes Care;"Advanced and Specialized Nursing (Q1); Endocrinology, Diabetes and Metabolism (Q1); Internal Medicine (Q1)"
Molecular Systems Biology;"Agricultural and Biological Sciences (miscellaneous) (Q1); Applied Mathematics (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Computational Theory and Mathematics (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Information Systems (Q1); Medicine (miscellaneous) (Q1)"
Journal of Applied Psychology;Applied Psychology (Q1)
Materials Science and Engineering: R: Reports;"Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)"
Annual Review of Microbiology;"Medicine (miscellaneous) (Q1); Microbiology (Q1)"
Annual Review of Cell and Developmental Biology;"Cell Biology (Q1); Developmental Biology (Q1)"
Annals of Statistics;"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)"
Physics Reports;Physics and Astronomy (miscellaneous) (Q1)
IEEE Journal on Selected Areas in Communications;"Computer Networks and Communications (Q1); Electrical and Electronic Engineering (Q1)"
Materials Today;"Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)"
JAMA Neurology;Neurology (clinical) (Q1)
Journal of the Royal Statistical Society. Series B: Statistical Methodology;"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)"
Annual Review of Ecology, Evolution, and Systematics;"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1)"
Trends in Cognitive Sciences;"Cognitive Neuroscience (Q1); Experimental and Cognitive Psychology (Q1); Neuropsychology and Physiological Psychology (Q1)"
Nature Metabolism;"Cell Biology (Q1); Endocrinology, Diabetes and Metabolism (Q1); Internal Medicine (Q1); Physiology (medical) (Q1)"
Nature Cancer;"Cancer Research (Q1); Oncology (Q1)"
European Urology;Urology (Q1)
Systematic Biology;"Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1)"
Nature Climate Change;"Environmental Science (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1)"
Annual Review of Entomology;"Ecology, Evolution, Behavior and Systematics (Q1); Insect Science (Q1)"
Cancer Discovery;Oncology (Q1)
IEEE Transactions on Evolutionary Computation;"Computational Theory and Mathematics (Q1); Software (Q1); Theoretical Computer Science (Q1)"
JAMA - Journal of the American Medical Association;Medicine (miscellaneous) (Q1)
Chem;"Biochemistry (Q1); Biochemistry (medical) (Q1); Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Environmental Chemistry (Q1); Materials Chemistry (Q1)"
IEEE Wireless Communications;"Computer Science Applications (Q1); Electrical and Electronic Engineering (Q1)"
Lancet Digital Health, The;"Decision Sciences (miscellaneous) (Q1); Health Informatics (Q1); Health Information Management (Q1); Medicine (miscellaneous) (Q1)"
Progress in Retinal and Eye Research;"Ophthalmology (Q1); Sensory Systems (Q1)"
Cell Reports Medicine;Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)
American Journal of Respiratory and Critical Care Medicine;"Critical Care and Intensive Care Medicine (Q1); Pulmonary and Respiratory Medicine (Q1)"
American Sociological Review;Sociology and Political Science (Q1)
Lancet Gastroenterology and Hepatology, The;"Gastroenterology (Q1); Hepatology (Q1)"
Journal of Accounting Research;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)"
JACC: Cardiovascular Imaging;"Cardiology and Cardiovascular Medicine (Q1); Radiology, Nuclear Medicine and Imaging (Q1)"
Progress in Polymer Science;"Ceramics and Composites (Q1); Materials Chemistry (Q1); Organic Chemistry (Q1); Polymers and Plastics (Q1); Surfaces and Interfaces (Q1)"
Journal of Business Venturing;"Business and International Management (Q1); Management of Technology and Innovation (Q1)"
American Political Science Review;"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
Nature Sustainability;"Ecology (Q1); Food Science (Q1); Geography, Planning and Development (Q1); Global and Planetary Change (Q1); Management, Monitoring, Policy and Law (Q1); Nature and Landscape Conservation (Q1); Renewable Energy, Sustainability and the Environment (Q1); Urban Studies (Q1)"
JAMA Internal Medicine;Internal Medicine (Q1)
Reports on Progress in Physics;"Medicine (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1)"
Journal of the American Chemical Society;"Biochemistry (Q1); Catalysis (Q1); Chemistry (miscellaneous) (Q1); Colloid and Surface Chemistry (Q1)"
Genome Research;"Genetics (Q1); Genetics (clinical) (Q1)"
American Economic Journal: Microeconomics;Economics, Econometrics and Finance (miscellaneous) (Q1)
Ecology Letters;Ecology, Evolution, Behavior and Systematics (Q1)
Annual Review of Genomics and Human Genetics;"Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1)"
Nature Biomedical Engineering;"Bioengineering (Q1); Biomedical Engineering (Q1); Biotechnology (Q1); Computer Science Applications (Q1); Medicine (miscellaneous) (Q1)"
EMBO Journal;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1); Neuroscience (miscellaneous) (Q1)"
Current Protocols in Bioinformatics;"Biochemistry (Q1); Medicine (miscellaneous) (Q1); Structural Biology (Q1)"
Nature Chemical Biology;"Cell Biology (Q1); Molecular Biology (Q1)"
JAMA Psychiatry;"Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1)"
Vital and health statistics. Series 2, Data evaluation and methods research;"Health Information Management (Q1); Medicine (miscellaneous) (Q1); Statistics and Probability (Q1)"
Pharmacological Reviews;"Molecular Medicine (Q1); Pharmacology (Q1)"
Journal of the European Economic Association;Economics, Econometrics and Finance (miscellaneous) (Q1)
Nature Ecology and Evolution;"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1)"
Journal of Clinical Investigation;Medicine (miscellaneous) (Q1)
MMWR supplements;Medicine (miscellaneous) (Q1)
Science Translational Medicine;Medicine (miscellaneous) (Q1)
Light: Science and Applications;"Atomic and Molecular Physics, and Optics (Q1); Electronic, Optical and Magnetic Materials (Q1)"
JACC: Heart Failure;Cardiology and Cardiovascular Medicine (Q1)
Annual Review of Political Science;Sociology and Political Science (Q1)
Zhonghua fu chan ke za zhi;Medicine (miscellaneous) (Q1)
Trends in Ecology and Evolution;Ecology, Evolution, Behavior and Systematics (Q1)
Cement and Concrete Research;"Building and Construction (Q1); Materials Science (miscellaneous) (Q1)"
Annual Review of Sociology;Sociology and Political Science (Q1)
Journal of Labor Economics;"Economics and Econometrics (Q1); Industrial Relations (Q1)"
Journal of the American Mathematical Society;"Applied Mathematics (Q1); Mathematics (miscellaneous) (Q1)"
Journal of Marketing Research;"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)"
Annual Review of Financial Economics;"Economics and Econometrics (Q1); Finance (Q1)"
Annals of the Rheumatic Diseases;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology (Q1); Immunology and Allergy (Q1); Rheumatology (Q1)"
Nature Geoscience;Earth and Planetary Sciences (miscellaneous) (Q1)
Molecular Biology and Evolution;"Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1); Molecular Biology (Q1)"
Lancet HIV,The;"Epidemiology (Q1); Immunology (Q1); Infectious Diseases (Q1); Virology (Q1)"
Psychological Methods;"History and Philosophy of Science (Q1); Psychology (miscellaneous) (Q1)"
Studies in Mycology;"Agricultural and Biological Sciences (miscellaneous) (Q1); Plant Science (Q1)"
IEEE Transactions on Smart Grid;Computer Science (miscellaneous) (Q1)
Journal of Business and Economic Statistics;"Economics and Econometrics (Q1); Social Sciences (miscellaneous) (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)"
Hepatology;"Hepatology (Q1); Medicine (miscellaneous) (Q1)"
European Journal of Heart Failure;Cardiology and Cardiovascular Medicine (Q1)
Annual Review of Medicine;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)"
Nature Human Behaviour;"Behavioral Neuroscience (Q1); Experimental and Cognitive Psychology (Q1); Social Psychology (Q1)"
Acta Neuropathologica;"Cellular and Molecular Neuroscience (Q1); Neurology (clinical) (Q1); Pathology and Forensic Medicine (Q1)"
Advances in Computers;Computer Science (miscellaneous) (Q1)
Organizational Research Methods;"Decision Sciences (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
Lancet Haematology,The;Hematology (Q1)
Journal of Financial Intermediation;"Economics and Econometrics (Q1); Finance (Q1)"
Signal Transduction and Targeted Therapy;"Cancer Research (Q1); Genetics (Q1)"
IEEE Communications Magazine;"Computer Networks and Communications (Q1); Computer Science Applications (Q1); Electrical and Electronic Engineering (Q1)"
Angewandte Chemie - International Edition;"Catalysis (Q1); Chemistry (miscellaneous) (Q1)"
Economic Journal;Economics and Econometrics (Q1)
Management Science;"Management Science and Operations Research (Q1); Strategy and Management (Q1)"
ACM Computing Surveys;"Computer Science (miscellaneous) (Q1); Theoretical Computer Science (Q1)"
Journal of Public Economics;"Economics and Econometrics (Q1); Finance (Q1)"
Personnel Psychology;"Applied Psychology (Q1); Organizational Behavior and Human Resource Management (Q1)"
Human Reproduction Update;"Obstetrics and Gynecology (Q1); Reproductive Medicine (Q1)"
Genome Medicine;"Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1); Molecular Medicine (Q1)"
Alzheimer's and Dementia;"Cellular and Molecular Neuroscience (Q1); Developmental Neuroscience (Q1); Epidemiology (Q1); Geriatrics and Gerontology (Q1); Health Policy (Q1); Neurology (clinical) (Q1); Psychiatry and Mental Health (Q1)"
Strategy Science;"Business and International Management (Q1); Management of Technology and Innovation (Q1); Management Science and Operations Research (Q1); Strategy and Management (Q1)"
IEEE Network;"Computer Networks and Communications (Q1); Hardware and Architecture (Q1); Information Systems (Q1); Software (Q1)"
Review of Asset Pricing Studies;"Economics and Econometrics (Q1); Finance (Q1)"
American Journal of Human Genetics;"Genetics (Q1); Genetics (clinical) (Q1)"
Trends in Chemistry;Chemistry (miscellaneous) (Q1)
Journal of Infection;"Infectious Diseases (Q1); Microbiology (medical) (Q1)"
Brookings Papers on Economic Activity;"Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q1)"
Progress in Particle and Nuclear Physics;Nuclear and High Energy Physics (Q1)
Advanced Functional Materials;"Biomaterials (Q1); Chemistry (miscellaneous) (Q1); Condensed Matter Physics (Q1); Electrochemistry (Q1); Electronic, Optical and Magnetic Materials (Q1); Materials Science (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1)"
Advances in Methods and Practices in Psychological Science;Psychology (miscellaneous) (Q1)
American Journal of Political Science;"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
Leadership Quarterly;"Applied Psychology (Q1); Business and International Management (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)"
Wiley Interdisciplinary Reviews: Computational Molecular Science;"Biochemistry (Q1); Computational Mathematics (Q1); Computer Science Applications (Q1); Materials Chemistry (Q1); Physical and Theoretical Chemistry (Q1)"
Med;Medicine (miscellaneous) (Q1)
Nature Plants;Plant Science (Q1)
Trends in Immunology;"Immunology (Q1); Immunology and Allergy (Q1)"
Publications Mathematiques de l'Institut des Hautes Etudes Scientifiques;Mathematics (miscellaneous) (Q1)
Journal of Extracellular Vesicles;"Cell Biology (Q1); Histology (Q1)"
Energy Storage Materials;"Energy Engineering and Power Technology (Q1); Materials Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
Nature Communications;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1)"
Cell Reports;Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)
Annual Review of Virology;Virology (Q1)
Strategic Entrepreneurship Journal;"Business and International Management (Q1); Economics and Econometrics (Q1); Strategy and Management (Q1)"
Blood;"Biochemistry (Q1); Cell Biology (Q1); Hematology (Q1); Immunology (Q1)"
Analytic Methods in Accident Research;"Safety Research (Q1); Transportation (Q1)"
Annual Review of Marine Science;Oceanography (Q1)
Immunological Reviews;"Immunology (Q1); Immunology and Allergy (Q1)"
Digest of Technical Papers - IEEE International Solid-State Circuits Conference;"Electrical and Electronic Engineering; Electronic, Optical and Magnetic Materials"
Journal of Monetary Economics;"Economics and Econometrics (Q1); Finance (Q1)"
Journal of the National Cancer Institute;"Cancer Research (Q1); Oncology (Q1)"
eLife;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Medicine (miscellaneous) (Q1); Neuroscience (miscellaneous) (Q1)"
