Title;Publisher
Annual Review of Condensed Matter Physics;Annual Reviews Inc.
Nature Reviews Gastroenterology and Hepatology;Nature Publishing Group
Journal of Clinical Oncology;American Society of Clinical Oncology
Cell Host and Microbe;Cell Press
Genome Biology;BioMed Central Ltd.
Cell Metabolism;Cell Press
Nature Immunology;Nature Publishing Group
Nature Reviews Microbiology;Nature Publishing Group
Nature Reviews Physics;Springer Nature Switzerland AG
Clinical Microbiology Reviews;American Society for Microbiology
Progress in Materials Science;Elsevier Ltd.
Lancet Psychiatry,The;Elsevier Ltd.
Lancet Global Health,The;Elsevier BV
Advances in Physics;Taylor and Francis Ltd.
Annual Review of Psychology;Annual Reviews Inc.
Advanced Materials;Wiley-Blackwell
Annual Review of Organizational Psychology and Organizational Behavior;Annual Reviews Inc.
American Economic Journal: Economic Policy;American Economic Association
Annals of Oncology;Elsevier Ltd.
Nature Reviews Endocrinology;Nature Publishing Group
Reviews of Geophysics;Wiley-Blackwell
Nature Structural and Molecular Biology;Nature Publishing Group
Annual Review of Public Health;Annual Reviews Inc.
Nature Reviews Disease Primers;Nature Publishing Group
Nature Chemistry;Nature Publishing Group
JAMA Cardiology;American Medical Association
Nature Electronics;Nature Publishing Group
Circulation;Lippincott Williams and Wilkins Ltd.
IEEE Transactions on Pattern Analysis and Machine Intelligence;IEEE Computer Society
Review of Economics and Statistics;MIT Press Journals
Nucleic Acids Research;Oxford University Press
Advanced Energy Materials;Wiley-VCH Verlag
Psychological science in the public interest : a journal of the American Psychological Society;SAGE Publications Inc.
Nature Reviews Neuroscience;Nature Publishing Group
Cell Stem Cell;Cell Press
Gut;BMJ Publishing Group
Cell Research;Nature Publishing Group
Journal of Economic Perspectives;American Economic Association
Nature Reviews Neurology;Nature Publishing Group
Gastroenterology;W.B. Saunders Ltd
Personality and Social Psychology Review;SAGE Publications Inc.
Academy of Management Review;Academy of Management
NCHS data brief;U.S. National Center for Health Statistics
Nature Physics;Nature Publishing Group
Annual Review of Fluid Mechanics;Annual Reviews Inc.
Neuron;Cell Press
Psychological Bulletin;American Psychological Association
JAMA Oncology;American Medical Association
Acta Crystallographica Section D: Structural Biology;"John Wiley &amp; Sons Inc."
EnergyChem;Elsevier BV
Advances in Optics and Photonics;The Optical Society
Accounts of Chemical Research;American Chemical Society
Journal of Marketing;American Marketing Association
Annual Review of Clinical Psychology;Annual Reviews Inc.
Trends in Cell Biology;Elsevier Ltd.
ACS Energy Letters;American Chemical Society
Journal of Hepatology;Elsevier
Journal of Accounting and Economics;Elsevier
Annual Review of Neuroscience;Annual Reviews Inc.
Journal of Experimental Medicine;Rockefeller University Press
Annual Review of Biophysics;Annual Reviews Inc.
ACM Transactions on Graphics;Association for Computing Machinery (ACM)
Manufacturing and Service Operations Management;INFORMS Institute for Operations Research and the Management Sciences
Journal of Management;SAGE Publications Inc.
Review of Corporate Finance Studies;Oxford University Press
Journal of Consumer Research;Oxford University Press
Nature Protocols;Nature Publishing Group
Electrochemical Energy Reviews;Springer Science and Business Media B.V.
Cell Systems;Cell Press
Living Reviews in Solar Physics;Springer International Publishing AG
Molecular Cancer;BioMed Central Ltd.
Review of Educational Research;SAGE Publications Inc.
Organization Science;INFORMS Institute for Operations Research and the Management Sciences
Endocrine Reviews;The Endocrine Society
Annual Review of Economics;Annual Reviews Inc.
International Journal of Computer Vision;Springer Netherlands
Progress in Energy and Combustion Science;Elsevier BV
Physical Review X;American Physical Society
Nature Reviews Cardiology;Nature Publishing Group
Annual Review of Physiology;Annual Reviews Inc.
NBER Macroeconomics Annual;University of Chicago Press
Annals of Mathematics;Princeton University Press
Fungal Diversity;Springer Netherlands
Lancet Rheumatology, The;Lancet Publishing Group
Nature Reviews Nephrology;Nature Publishing Group
Annual Review of Nuclear and Particle Science;Annual Reviews Inc.
Marketing Science;INFORMS Institute for Operations Research and the Management Sciences
Science Robotics;American Association for the Advancement of Science
Genes and Development;Cold Spring Harbor Laboratory Press
Diabetes Care;American Diabetes Association Inc.
Molecular Systems Biology;Wiley-Blackwell
Journal of Applied Psychology;American Psychological Association
Materials Science and Engineering: R: Reports;Elsevier BV
Annual Review of Microbiology;Annual Reviews Inc.
Annual Review of Cell and Developmental Biology;Annual Reviews Inc.
Annals of Statistics;Institute of Mathematical Statistics
Physics Reports;Elsevier
IEEE Journal on Selected Areas in Communications;Institute of Electrical and Electronics Engineers Inc.
Materials Today;Elsevier
JAMA Neurology;American Medical Association
Journal of the Royal Statistical Society. Series B: Statistical Methodology;Wiley-Blackwell Publishing Ltd
Annual Review of Ecology, Evolution, and Systematics;Annual Reviews Inc.
Trends in Cognitive Sciences;Elsevier Ltd.
Nature Metabolism;Springer Berlin
Nature Cancer;
European Urology;Elsevier
Systematic Biology;Oxford University Press
Nature Climate Change;Nature Publishing Group
Annual Review of Entomology;Annual Reviews Inc.
Cancer Discovery;American Association for Cancer Research Inc.
IEEE Transactions on Evolutionary Computation;Institute of Electrical and Electronics Engineers Inc.
JAMA - Journal of the American Medical Association;American Medical Association
Chem;Elsevier Inc.
IEEE Wireless Communications;Institute of Electrical and Electronics Engineers Inc.
Lancet Digital Health, The;Elsevier Ltd.
Progress in Retinal and Eye Research;Elsevier Ltd.
Cell Reports Medicine;Cell Press
American Journal of Respiratory and Critical Care Medicine;American Thoracic Society
American Sociological Review;American Sociological Association
Lancet Gastroenterology and Hepatology, The;Elsevier Ltd.
Journal of Accounting Research;Wiley-Blackwell Publishing Ltd
JACC: Cardiovascular Imaging;Elsevier Inc.
Progress in Polymer Science;Elsevier Ltd.
Journal of Business Venturing;Elsevier Inc.
American Political Science Review;Cambridge University Press
Nature Sustainability;Nature Publishing Group
JAMA Internal Medicine;American Medical Association
Reports on Progress in Physics;IOP Publishing Ltd.
Journal of the American Chemical Society;American Chemical Society
Genome Research;Cold Spring Harbor Laboratory Press
American Economic Journal: Microeconomics;American Economic Association
Ecology Letters;Wiley-Blackwell Publishing Ltd
Annual Review of Genomics and Human Genetics;Annual Reviews Inc.
Nature Biomedical Engineering;Nature Publishing Group
EMBO Journal;Wiley-Blackwell
Current Protocols in Bioinformatics;"John Wiley &amp; Sons Inc."
Nature Chemical Biology;Nature Publishing Group
JAMA Psychiatry;American Medical Association
Vital and health statistics. Series 2, Data evaluation and methods research;U.S. National Center for Health Statistics
Pharmacological Reviews;American Society for Pharmacology and Experimental Therapeutics
Journal of the European Economic Association;Wiley-Blackwell
Nature Ecology and Evolution;Nature Publishing Group
Journal of Clinical Investigation;The American Society for Clinical Investigation
MMWR supplements;Epidemiology Program Office
Science Translational Medicine;American Association for the Advancement of Science
Light: Science and Applications;Nature Publishing Group
JACC: Heart Failure;Elsevier BV
Annual Review of Political Science;Annual Reviews Inc.
Zhonghua fu chan ke za zhi;Zhonghua Yixuehui Zazhishe
Trends in Ecology and Evolution;Elsevier Ltd.
Cement and Concrete Research;Elsevier Ltd.
Annual Review of Sociology;Annual Reviews Inc.
Journal of Labor Economics;University of Chicago
Journal of the American Mathematical Society;American Mathematical Society
Journal of Marketing Research;American Marketing Association
Annual Review of Financial Economics;Annual Reviews Inc.
Annals of the Rheumatic Diseases;BMJ Publishing Group
Nature Geoscience;Nature Publishing Group
Molecular Biology and Evolution;Oxford University Press
Lancet HIV,The;Elsevier Ltd.
Psychological Methods;American Psychological Association
Studies in Mycology;Westerdijk Fungal Biodiversity Institute
IEEE Transactions on Smart Grid;Institute of Electrical and Electronics Engineers Inc.
Journal of Business and Economic Statistics;Taylor and Francis Ltd.
Hepatology;John Wiley and Sons Ltd
European Journal of Heart Failure;Wiley-Blackwell
Annual Review of Medicine;Annual Reviews Inc.
Nature Human Behaviour;Nature Publishing Group
Acta Neuropathologica;Springer Verlag
Advances in Computers;Academic Press Inc.
Organizational Research Methods;SAGE Publications Inc.
Lancet Haematology,The;Lancet Publishing Group
Journal of Financial Intermediation;Academic Press Inc.
Signal Transduction and Targeted Therapy;Springer Nature
IEEE Communications Magazine;Institute of Electrical and Electronics Engineers Inc.
Angewandte Chemie - International Edition;John Wiley and Sons Ltd
Economic Journal;Wiley-Blackwell
Management Science;INFORMS Institute for Operations Research and the Management Sciences
ACM Computing Surveys;Association for Computing Machinery (ACM)
Journal of Public Economics;Elsevier
Personnel Psychology;Wiley-Blackwell
Human Reproduction Update;Oxford University Press
Genome Medicine;BioMed Central Ltd.
Alzheimer's and Dementia;"John Wiley &amp; Sons Inc."
Strategy Science;INFORMS Institute for Operations Research and the Management Sciences
IEEE Network;Institute of Electrical and Electronics Engineers Inc.
Review of Asset Pricing Studies;Oxford University Press
American Journal of Human Genetics;Cell Press
Trends in Chemistry;Cell Press
Journal of Infection;W.B. Saunders Ltd
Brookings Papers on Economic Activity;Brookings Institution Press
Progress in Particle and Nuclear Physics;Elsevier
Advanced Functional Materials;Wiley-VCH Verlag
Advances in Methods and Practices in Psychological Science;SAGE Publications Inc.
American Journal of Political Science;Wiley-Blackwell Publishing Ltd
Leadership Quarterly;Elsevier Inc.
Wiley Interdisciplinary Reviews: Computational Molecular Science;"John Wiley &amp; Sons Inc."
Med;Cell Press
Nature Plants;Palgrave Macmillan Ltd.
Trends in Immunology;Elsevier Ltd.
Publications Mathematiques de l'Institut des Hautes Etudes Scientifiques;Springer Verlag
Journal of Extracellular Vesicles;"John Wiley &amp; Sons Inc."
Energy Storage Materials;Elsevier BV
Nature Communications;Nature Publishing Group
Cell Reports;Cell Press
Annual Review of Virology;Annual Reviews Inc.
Strategic Entrepreneurship Journal;"John Wiley &amp; Sons Inc."
Blood;Elsevier BV
Analytic Methods in Accident Research;Elsevier BV
Annual Review of Marine Science;Annual Reviews Inc.
Immunological Reviews;Wiley-Blackwell Publishing Ltd
Digest of Technical Papers - IEEE International Solid-State Circuits Conference;Institute of Electrical and Electronics Engineers Inc.
Journal of Monetary Economics;Elsevier
Journal of the National Cancer Institute;Oxford University Press
eLife;eLife Sciences Publications
Journal of Thoracic Oncology;International Association for the Study of Lung Cancer
Applied Physics Reviews;AIP Publishing LLC
Cold Spring Harbor perspectives in biology;Cold Spring Harbor Laboratory Press
Molecular Neurodegeneration;BioMed Central Ltd.
Radiology: Artificial Intelligence;Radiological Society of North America Inc.
Annual Review of Materials Research;Annual Reviews Inc.
Political Analysis;Cambridge University Press
Circulation Research;Lippincott Williams and Wilkins Ltd.
Developmental Cell;Cell Press
IEEE Signal Processing Magazine;Institute of Electrical and Electronics Engineers Inc.
Nano Energy;Elsevier BV
Proceedings of the IEEE;Institute of Electrical and Electronics Engineers Inc.
Accounting Review;American Accounting Association
Annual Review of Environment and Resources;Annual Reviews Inc.
EClinicalMedicine;Lancet Publishing Group
IEEE Transactions on Power Systems;Institute of Electrical and Electronics Engineers Inc.
Journal of Management Studies;Wiley-Blackwell Publishing Ltd
Annals of Internal Medicine;American College of Physicians
Psychological Science in the Public Interest, Supplement;SAGE Publications Inc.
ACS Nano;American Chemical Society
Nature Machine Intelligence;Springer Nature Switzerland AG
Protein Science;Wiley-Blackwell
Radiology;Radiological Society of North America Inc.
Journal of the American Society of Nephrology : JASN;American Society of Nephrology
Science advances;American Association for the Advancement of Science
International Journal of Information Management;Elsevier Ltd.
Brain;Oxford University Press
Perspectives on Psychological Science;SAGE Publications Ltd
Information Fusion;Elsevier
Trends in Genetics;Elsevier Ltd.
Inventiones Mathematicae;Springer New York
Annual Review of Earth and Planetary Sciences;Annual Reviews Inc.
Carbon Energy;"John Wiley &amp; Sons Inc."
IEEE Transactions on Cybernetics;IEEE Advancing Technology for Humanity
MIS Quarterly: Management Information Systems;Management Information Systems Research Center
Applied Catalysis B: Environmental;Elsevier
Clinical Psychology Review;Elsevier Inc.
Ultrasound in Obstetrics and Gynecology;John Wiley and Sons Ltd
Coordination Chemistry Reviews;Elsevier
IEEE Transactions on Wireless Communications;Institute of Electrical and Electronics Engineers Inc.
American Journal of Psychiatry;American Psychiatric Association
Journal of the Academy of Marketing Science;Springer New York
Eurosurveillance;European Centre for Disease Prevention and Control (ECDC)
Ophthalmology;Elsevier Inc.
Acta Mathematica;Springer Netherlands
Journal of the American Statistical Association;Taylor and Francis Ltd.
Clinical Cancer Research;American Association for Cancer Research Inc.
Clinical Infectious Diseases;Oxford University Press
Microbiome;BioMed Central Ltd.
Journal of International Business Studies;Palgrave Macmillan Ltd.
Molecular Psychiatry;Nature Publishing Group
Lancet Child and Adolescent Health, The;Elsevier BV
Lancet Healthy Longevity, The;Elsevier Ltd.
Journal of Management Information Systems;M.E. Sharpe Inc.
Biological Reviews;Wiley-Blackwell
Psychological Review;American Psychological Association
Intensive Care Medicine;Springer Verlag
European Respiratory Journal;European Respiratory Society
IEEE Transactions on Industrial Informatics;IEEE Computer Society
Cell Discovery;Nature Publishing Group
Nature Reviews Earth and Environment;Springer Nature Switzerland AG
Journal of Hematology and Oncology;BioMed Central Ltd.
Biological Psychiatry;Elsevier USA
IEEE Transactions on Neural Networks and Learning Systems;IEEE Computational Intelligence Society
Molecular Plant;Cell Press
ACS Catalysis;American Chemical Society
Progress in Human Geography;SAGE Publications Ltd
Microbiology and Molecular Biology Reviews;American Society for Microbiology
IEEE Journal of Solid-State Circuits;Institute of Electrical and Electronics Engineers Inc.
Proceedings of the National Academy of Sciences of the United States of America;National Academy of Sciences
PLoS Medicine;Public Library of Science
IEEE Transactions on Automatic Control;Institute of Electrical and Electronics Engineers Inc.
Medical Image Analysis;Elsevier
Optica;OSA Publishing
IEEE Transactions on Sustainable Energy;Institute of Electrical and Electronics Engineers Inc.
Current Climate Change Reports;Springer International Publishing AG
European Heart Journal;Oxford University Press
Annual Review of Criminology;Annual Reviews Inc.
ACS Central Science;American Chemical Society
Trends in Biochemical Sciences;Elsevier Ltd.
IEEE Transactions on Fuzzy Systems;Institute of Electrical and Electronics Engineers Inc.
Academy of Management Perspectives;Academy of Management
Trends in Neurosciences;Elsevier Ltd.
Kidney International;Elsevier Inc.
Acta Numerica;Cambridge University Press
Wiley interdisciplinary reviews. RNA;"John Wiley &amp; Sons Inc."
IEEE Transactions on Medical Imaging;Institute of Electrical and Electronics Engineers Inc.
EMBO Molecular Medicine;Wiley-Blackwell
FEMS Microbiology Reviews;Oxford University Press
Psychotherapy and Psychosomatics;S. Karger AG
JAMA network open;American Medical Association
IEEE Transactions on Image Processing;Institute of Electrical and Electronics Engineers Inc.
Leukemia;Nature Publishing Group
Health Affairs;Project Hope
Journal of Strategic Information Systems;Elsevier
Journal of Service Research;SAGE Publications Inc.
Annual Review of Pharmacology and Toxicology;Annual Reviews Inc.
Review of Accounting Studies;Springer New York
Advanced Science;Wiley-VCH Verlag
Journal of Cell Biology;Rockefeller University Press
Matter;Cell Press
Nano-Micro Letters;
PLoS Biology;Public Library of Science
European Journal of Epidemiology;Springer Netherlands
Annual Review of Phytopathology;Annual Reviews Inc.
Internet and Higher Education;Elsevier BV
Nano Today;Elsevier
IEEE Vehicular Technology Magazine;Institute of Electrical and Electronics Engineers Inc.
Annual Review of Cancer Biology;Annual Reviews Inc.
Journal of Organizational Behavior;John Wiley and Sons Ltd
Annals of Neurology;"John Wiley &amp; Sons Inc."
Research in Organizational Behavior;Elsevier Ltd.
British Journal of Sports Medicine;BMJ Publishing Group
Remote Sensing of Environment;Elsevier Inc.
Organization Studies;SAGE Publications Ltd
International Journal of Management Reviews;Wiley-Blackwell Publishing Ltd
IEEE Internet of Things Journal;Institute of Electrical and Electronics Engineers Inc.
Drug Resistance Updates;Churchill Livingstone
Foundations and Trends in Computer Graphics and Vision;Now Publishers Inc
Information Systems Research;INFORMS Institute for Operations Research and the Management Sciences
Journal of Thrombosis and Haemostasis;Wiley-Blackwell Publishing Ltd
Journal of Public Administration Research and Theory;Oxford University Press
Journal of Allergy and Clinical Immunology;Mosby Inc.
Sports Medicine;Springer International Publishing AG
Review of Finance;Oxford University Press
Automatica;Elsevier Ltd.
California Management Review;Haas School of Business
Nano Letters;American Chemical Society
Annual Reviews in Control;Elsevier Ltd.
Plant Cell;American Society of Plant Biologists
Econometrics Journal;Wiley-Blackwell Publishing Ltd
Persoonia: Molecular Phylogeny and Evolution of Fungi;National Herbarium Nederland
Communication Methods and Measures;Routledge
Journal of Personality and Social Psychology;American Psychological Association
Energy and Environmental Materials;"John Wiley &amp; Sons Inc."
Global Change Biology;Wiley-Blackwell Publishing Ltd
Renewable and Sustainable Energy Reviews;Elsevier Ltd.
Computers and Education;Elsevier Ltd.
Emerging Infectious Diseases;Centers for Disease Control and Prevention (CDC)
Small Methods;John Wiley and Sons Ltd
Materials Horizons;Royal Society of Chemistry
Earth System Science Data;Copernicus Publications
JCI insight;The American Society for Clinical Investigation
Journal of Advances in Modeling Earth Systems;Wiley-Blackwell
Limnology And Oceanography Letters;"John Wiley &amp; Sons Inc."
Cancer Immunology Research;American Association for Cancer Research Inc.
Information and Organization;Elsevier Ltd.
Journal of Interactive Marketing;Elsevier Ltd.
Operations Research;INFORMS Institute for Operations Research and the Management Sciences
Earth-Science Reviews;Elsevier
International Organization;Cambridge University Press
JACC: Cardiovascular Interventions;Elsevier Inc.
IEEE Computational Intelligence Magazine;Institute of Electrical and Electronics Engineers Inc.
Foundations and Trends in Theoretical Computer Science;Now Publishers Inc
Ecological Monographs;Wiley-Blackwell
Journal of the American Academy of Child and Adolescent Psychiatry;Elsevier Ltd.
Journal of Travel Medicine;Oxford University Press
Journal of International Economics;Elsevier
Current Opinion in Cell Biology;Elsevier Ltd.
JAMA Surgery;American Medical Association
Cell Death and Differentiation;Nature Publishing Group
Current Opinion in Neurobiology;Elsevier Ltd.
Journal of Financial and Quantitative Analysis;Cambridge University Press
Quantitative Economics;Wiley-Blackwell
Trends in Microbiology;Elsevier Ltd.
Educational Psychologist;Routledge
Research Policy;Elsevier
Annals of Surgery;Lippincott Williams and Wilkins Ltd.
Diabetologia;Springer Verlag
Surface Science Reports;Elsevier
Journal of Econometrics;Elsevier BV
IEEE Transactions on Industrial Electronics;
Matrix Biology;Elsevier
Journal of Economic Growth;Springer New York
Developmental Review;Mosby Inc.
Trends in Plant Science;Elsevier Ltd.
ISPRS Journal of Photogrammetry and Remote Sensing;Elsevier
Digital Journalism;Taylor and Francis Ltd.
Journal of Environmental Economics and Management;Academic Press Inc.
Circulation: Heart Failure;Lippincott Williams and Wilkins Ltd.
IEEE Transactions on Robotics;Institute of Electrical and Electronics Engineers Inc.
Trends in Cancer;Cell Press
JAMA Pediatrics;American Medical Association
Journal for ImmunoTherapy of Cancer;BMJ Publishing Group
IEEE Transactions on Systems, Man, and Cybernetics: Systems;IEEE Advancing Technology for Humanity
Evidence-Based Mental Health;BMJ Publishing Group
BMC Medicine;BioMed Central Ltd.
International Journal of Robotics Research;SAGE Publications Inc.
Bioinformatics;Oxford University Press
Criminology;Wiley-Blackwell
Hypertension;Lippincott Williams and Wilkins Ltd.
Forum of Mathematics, Pi;Cambridge University Press
Lancet Planetary Health, The;Elsevier BV
Trends in Pharmacological Sciences;Elsevier Ltd.
npj Quantum Information;Nature Partner Journals
Tourism Management;Elsevier Ltd.
Proceedings of the Annual ACM Symposium on Theory of Computing;Association for Computing Machinery (ACM)
Educational Researcher;SAGE Publications Inc.
Transportation Research Part B: Methodological;Elsevier Ltd.
Political Communication;Taylor and Francis Ltd.
International journal of oral science;Sichuan University Press
Journal of Operations Management;"John Wiley &amp; Sons Inc."
Journal of Clinical Virology;Elsevier
Entrepreneurship Theory and Practice;Wiley-Blackwell
International Review of Sport and Exercise Psychology;Routledge
Seminars in Immunology;Academic Press Inc.
ISME Journal;Nature Publishing Group
Production and Operations Management;Wiley-Blackwell
Foundations and Trends in Information Retrieval;Now Publishers Inc
IEEE Transactions on Power Electronics;Institute of Electrical and Electronics Engineers Inc.
npj Digital Medicine;Nature Publishing Group
Emerging Microbes and Infections;Nature Publishing Group
SIAM Review;Society for Industrial and Applied Mathematics Publications
Current Opinion in Structural Biology;Elsevier Ltd.
American Journal of Transplantation;Wiley-Blackwell Publishing Ltd
Structural Equation Modeling;Psychology Press Ltd
IEEE Transactions on Information Forensics and Security;Institute of Electrical and Electronics Engineers Inc.
Journal of Travel Research;SAGE Publications Ltd
Foundations and Trends in Systems and Control;Now Publishers Inc
Innovation Policy and the Economy;University of Chicago Press
Synthesis Lectures on Artificial Intelligence and Machine Learning;Morgan and Claypool Publishers
IEEE Transactions on Affective Computing;Institute of Electrical and Electronics Engineers Inc.
Journal of the National Comprehensive Cancer Network : JNCCN;Cold Spring Publishing LLC
Journal of Development Economics;Elsevier
Autophagy;Landes Bioscience
Educational Psychology Review;Springer New York
Journal of Differential Geometry;International Press of Boston, Inc.
Mucosal Immunology;Nature Publishing Group
Physical Review Letters;American Physical Society
Stroke;Lippincott Williams and Wilkins Ltd.
Protection and Control of Modern Power Systems;SpringerOpen
Long Range Planning;Elsevier Ltd.
Comparative Political Studies;SAGE Publications Inc.
IEEE Journal on Selected Topics in Signal Processing;Institute of Electrical and Electronics Engineers Inc.
Molecular Aspects of Medicine;Elsevier Ltd.
Small;Wiley-VCH Verlag
Blood Cancer Journal;Nature Publishing Group
Critical Care;BioMed Central Ltd.
Cancer Treatment Reviews;W.B. Saunders Ltd
Transportation Research Part C: Emerging Technologies;Elsevier Ltd.
Arthritis and Rheumatology;John Wiley and Sons Ltd
Radiocarbon;Cambridge University Press
Journal of Internal Medicine;Wiley-Blackwell Publishing Ltd
Frontiers in Ecology and the Environment;Wiley-Blackwell
EMBO Reports;Wiley-Blackwell
Epidemiologic Reviews;Oxford University Press
Biometrika;Oxford University Press
Laser and Photonics Reviews;Wiley-VCH Verlag
Mathematical Programming Computation;Springer Verlag
Annual Review of Physical Chemistry;Annual Reviews Inc.
Autoimmunity Reviews;Elsevier
International Journal of Machine Tools and Manufacture;Elsevier Ltd.
Global Environmental Change;Elsevier Ltd.
Journal of Child Psychology and Psychiatry and Allied Disciplines;Wiley-Blackwell Publishing Ltd
Annals of Tourism Research;Elsevier Ltd.
Science Signaling;American Association for the Advancement of Science
npj 2D Materials and Applications;Nature Publishing Group
npj Climate and Atmospheric Science;Springer Nature
Computer-Aided Civil and Infrastructure Engineering;Wiley-Blackwell Publishing Ltd
Trends in Molecular Medicine;Elsevier Ltd.
Allergy: European Journal of Allergy and Clinical Immunology;Wiley-Blackwell Publishing Ltd
Pattern Recognition;Elsevier Ltd.
Clinical Microbiology and Infection;Elsevier Ltd.
Journal of Clinical Epidemiology;Elsevier USA
IEEE Transactions on Communications;Institute of Electrical and Electronics Engineers Inc.
Annual Review of Statistics and Its Application;Annual Reviews Inc.
Communications on Pure and Applied Mathematics;Wiley-Liss Inc.
Journal of Materials Chemistry A;Royal Society of Chemistry
Current Directions in Psychological Science;SAGE Publications Inc.
Neuro-Oncology;Oxford University Press
International Journal of Press/Politics;SAGE Publications Inc.
Modern Language Journal;Wiley-Blackwell
Journal of Business and Psychology;Kluwer Academic/Human Sciences Press Inc.
Current Opinion in Plant Biology;Elsevier Ltd.
Pharmacology and Therapeutics;Elsevier Inc.
Astrophysical Journal, Supplement Series;American Astronomical Society
Cancer Research;American Association for Cancer Research Inc.
Sociological Science;Society for Sociological Science
Educational Research Review;Elsevier Ltd.
Molecular Therapy;Cell Press
Applied Energy;Elsevier BV
Transport Reviews;Routledge
Nuclear Data Sheets;Academic Press Inc.
New Media and Society;SAGE Publications Ltd
Journal of Consumer Psychology;"John Wiley &amp; Sons Inc."
Progress in Neurobiology;Elsevier Ltd.
National Health Statistics Reports;U.S. National Center for Health Statistics
Circulation: Cardiovascular Interventions;Lippincott Williams and Wilkins Ltd.
Brain, Behavior, and Immunity;Academic Press Inc.
Annual Review of Vision Science;Annual Reviews Inc.
RAND Journal of Economics;Wiley-Blackwell
Journal of Supply Chain Management;Wiley-Blackwell
Briefings in Bioinformatics;Oxford University Press
Journal of Politics;University of Chicago Press
Soft Robotics;Mary Ann Liebert Inc.
Psychological Science;SAGE Publications Inc.
SIAM Journal on Optimization;Society for Industrial and Applied Mathematics Publications
Contemporary Accounting Research;Wiley-Blackwell
Journal of Occupational Health Psychology;Educational Publishing Foundation
New Phytologist;Wiley-Blackwell Publishing Ltd
Critical Reviews in Biochemistry and Molecular Biology;Informa Healthcare
Methods in Ecology and Evolution;"John Wiley &amp; Sons Inc."
Language Learning;Wiley-Blackwell Publishing Ltd
International Materials Reviews;Maney Publishing
npj Computational Materials;Nature Publishing Group
Science Education;Wiley-Liss Inc.
ACS Materials Letters;American Chemical Society
