Title;Category;rank
Nature Reviews Cancer;Cancer Research;Q1
Nature Reviews Cancer;Oncology;Q1
Nature Energy;Electronic, Optical and Magnetic Materials;Q1
Nature Energy;Energy Engineering and Power Technology;Q1
Nature Energy;Fuel Technology;Q1
Nature Energy;Renewable Energy, Sustainability and the Environment;Q1
Nature Genetics;Genetics;Q1
Morbidity and Mortality Weekly Report;Epidemiology;Q1
Morbidity and Mortality Weekly Report;Health Information Management;Q1
Morbidity and Mortality Weekly Report;Health, social science;Q1
Morbidity and Mortality Weekly Report;Health, Toxicology and Mutagenesis;Q1
Morbidity and Mortality Weekly Report;Medicine, miscellaneous;Q1
Journal of Finance;Accounting;Q1
Journal of Finance;Economics and Econometrics;Q1
Journal of Finance;Finance;Q1
Lancet, The;Medicine, miscellaneous;Q1
Review of Economic Studies;Economics and Econometrics;Q1
Academy of Management Annals;Business and International Management;Q1
Academy of Management Annals;Organizational Behavior and Human Resource Management;Q1
Science;History and Philosophy of Science;Q1
Science;Multidisciplinary;Q1
Chemical Society Reviews;Chemistry, miscellaneous;Q1
Immunity;Immunology;Q1
Immunity;Immunology and Allergy;Q1
Immunity;Infectious Diseases;Q1
Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition;Computer Vision and Pattern Recognition
Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition;Software
IEEE Communications Surveys and Tutorials;Electrical and Electronic Engineering;Q1
Lancet Microbe, The;Infectious Diseases;Q1
Lancet Microbe, The;Microbiology;Q1
Lancet Microbe, The;Microbiology, medical;Q1
Lancet Microbe, The;Virology;Q1
Foundations and Trends in Machine Learning;Artificial Intelligence;Q1
Foundations and Trends in Machine Learning;Human-Computer Interaction;Q1
Foundations and Trends in Machine Learning;Software;Q1
Econometrica;Economics and Econometrics;Q1
Annual Review of Biochemistry;Biochemistry;Q1
Physiological Reviews;Medicine, miscellaneous;Q1
Physiological Reviews;Molecular Biology;Q1
Physiological Reviews;Physiology;Q1
Physiological Reviews;Physiology, medical;Q1
World Psychiatry;Psychiatry and Mental Health;Q1
Nature Catalysis;Biochemistry;Q1
Nature Catalysis;Bioengineering;Q1
Nature Catalysis;Catalysis;Q1
Nature Catalysis;Process Chemistry and Technology;Q1
Annual Review of Astronomy and Astrophysics;Astronomy and Astrophysics;Q1
Annual Review of Astronomy and Astrophysics;Space and Planetary Science;Q1
Living Reviews in Relativity;Physics and Astronomy, miscellaneous;Q1
Nature Materials;Chemistry, miscellaneous;Q1
Nature Materials;Condensed Matter Physics;Q1
Nature Materials;Materials Science, miscellaneous;Q1
Nature Materials;Mechanical Engineering;Q1
Nature Materials;Mechanics of Materials;Q1
Nature Methods;Biochemistry;Q1
Nature Methods;Biotechnology;Q1
Nature Methods;Cell Biology;Q1
Nature Methods;Molecular Biology;Q1
Nature Neuroscience;Neuroscience, miscellaneous;Q1
Science immunology;Immunology;Q1
Science immunology;Immunology and Allergy;Q1
Nature Reviews Chemistry;Chemical Engineering, miscellaneous;Q1
Nature Reviews Chemistry;Chemistry, miscellaneous;Q1
Nature Reviews Clinical Oncology;Oncology;Q1
Lancet Oncology, The;Oncology;Q1
Nature Nanotechnology;Atomic and Molecular Physics, and Optics;Q1
Nature Nanotechnology;Bioengineering;Q1
Nature Nanotechnology;Biomedical Engineering;Q1
Nature Nanotechnology;Condensed Matter Physics;Q1
Nature Nanotechnology;Electrical and Electronic Engineering;Q1
Nature Nanotechnology;Materials Science, miscellaneous;Q1
Nature Nanotechnology;Nanoscience and Nanotechnology;Q1
Lancet Neurology, The;Neurology, clinical;Q1
Review of Financial Studies;Accounting;Q1
Review of Financial Studies;Economics and Econometrics;Q1
Review of Financial Studies;Finance;Q1
Energy and Environmental Science;Environmental Chemistry;Q1
Energy and Environmental Science;Nuclear Energy and Engineering;Q1
Energy and Environmental Science;Pollution;Q1
Energy and Environmental Science;Renewable Energy, Sustainability and the Environment;Q1
Lancet Public Health, The;Public Health, Environmental and Occupational Health;Q1
Nature Reviews Drug Discovery;Drug Discovery;Q1
Nature Reviews Drug Discovery;Medicine, miscellaneous;Q1
Nature Reviews Drug Discovery;Pharmacology;Q1
Lancet Respiratory Medicine,The;Pulmonary and Respiratory Medicine;Q1
Nature Photonics;Atomic and Molecular Physics, and Optics;Q1
Nature Photonics;Electronic, Optical and Magnetic Materials;Q1
Academy of Management Journal;Business and International Management;Q1
Academy of Management Journal;Business, Management and Accounting, miscellaneous;Q1
Academy of Management Journal;Management of Technology and Innovation;Q1
Academy of Management Journal;Strategy and Management;Q1
Joule;Energy, miscellaneous;Q1
Journal of Financial Economics;Accounting;Q1
Journal of Financial Economics;Economics and Econometrics;Q1
Journal of Financial Economics;Finance;Q1
Journal of Financial Economics;Strategy and Management;Q1
Lancet Infectious Diseases, The;Infectious Diseases;Q1
MMWR Surveillance Summaries;Epidemiology;Q1
MMWR Surveillance Summaries;Health Information Management;Q1
MMWR Surveillance Summaries;Health, social science;Q1
MMWR Surveillance Summaries;Health, Toxicology and Mutagenesis;Q1
Annual Review of Pathology: Mechanisms of Disease;Medicine, miscellaneous;Q1
Annual Review of Pathology: Mechanisms of Disease;Pathology and Forensic Medicine;Q1
Annual Review of Pathology: Mechanisms of Disease;Plant Science;Q1
American Economic Journal: Applied Economics;Economics, Econometrics and Finance, miscellaneous;Q1
Cancer Cell;Cancer Research;Q1
Cancer Cell;Cell Biology;Q1
Cancer Cell;Oncology;Q1
Molecular Cell;Cell Biology;Q1
Molecular Cell;Molecular Biology;Q1
Nature Cell Biology;Cell Biology;Q1
American Economic Journal: Macroeconomics;Economics, Econometrics and Finance, miscellaneous;Q1
Lancet Diabetes and Endocrinology,The;Endocrinology;Q1
Lancet Diabetes and Endocrinology,The;Endocrinology, Diabetes and Metabolism;Q1
Lancet Diabetes and Endocrinology,The;Internal Medicine;Q1
Journal of the American College of Cardiology;Cardiology and Cardiovascular Medicine;Q1
Nature Microbiology;Applied Microbiology and Biotechnology;Q1
Nature Microbiology;Cell Biology;Q1
Nature Microbiology;Genetics;Q1
Nature Microbiology;Immunology;Q1
Nature Microbiology;Microbiology;Q1
Nature Microbiology;Microbiology, medical;Q1
Astronomy and Astrophysics Review;Astronomy and Astrophysics;Q1
Astronomy and Astrophysics Review;Space and Planetary Science;Q1
Annual Review of Plant Biology;Cell Biology;Q1
Annual Review of Plant Biology;Molecular Biology;Q1
Annual Review of Plant Biology;Physiology;Q1
Annual Review of Plant Biology;Plant Science;Q1
Annual Review of Genetics;Genetics;Q1
Journal of Economic Literature;Economics and Econometrics;Q1
Strategic Management Journal;Business and International Management;Q1
Strategic Management Journal;Strategy and Management;Q1
Annual Review of Condensed Matter Physics;Condensed Matter Physics;Q1
Annual Review of Condensed Matter Physics;Materials Science, miscellaneous;Q1
Nature Reviews Gastroenterology and Hepatology;Gastroenterology;Q1
Nature Reviews Gastroenterology and Hepatology;Hepatology;Q1
Journal of Clinical Oncology;Cancer Research;Q1
Journal of Clinical Oncology;Medicine, miscellaneous;Q1
Journal of Clinical Oncology;Oncology;Q1
Cell Host and Microbe;Cancer Research;Q1
Cell Host and Microbe;Immunology and Microbiology, miscellaneous ;Q1
Cell Host and Microbe;Microbiology;Q1
Cell Host and Microbe;Molecular Biology;Q1
Cell Host and Microbe;Parasitology;Q1
Cell Host and Microbe;Virology;Q1
Genome Biology;Cell Biology;Q1
Genome Biology;Ecology, Evolution, Behavior and Systematics;Q1
Genome Biology;Genetics;Q1
Cell Metabolism;Cell Biology;Q1
Cell Metabolism;Molecular Biology;Q1
Cell Metabolism;Physiology;Q1
Nature Immunology;Immunology;Q1
Nature Immunology;Immunology and Allergy;Q1
Nature Reviews Microbiology;Immunology and Microbiology, miscellaneous ;Q1
Nature Reviews Microbiology;Infectious Diseases;Q1
Nature Reviews Microbiology;Microbiology;Q1
Nature Reviews Physics;Physics and Astronomy, miscellaneous;Q1
Clinical Microbiology Reviews;Epidemiology;Q1
Clinical Microbiology Reviews;Immunology and Microbiology, miscellaneous ;Q1
Clinical Microbiology Reviews;Infectious Diseases;Q1
Clinical Microbiology Reviews;Microbiology, medical;Q1
Clinical Microbiology Reviews;Public Health, Environmental and Occupational Health;Q1
Progress in Materials Science;Materials Science, miscellaneous;Q1
Lancet Psychiatry,The;Biological Psychiatry;Q1
Lancet Psychiatry,The;Psychiatry and Mental Health;Q1
Lancet Global Health,The;Medicine, miscellaneous;Q1
Advances in Physics;Condensed Matter Physics;Q1
Annual Review of Psychology;Psychology, miscellaneous;Q1
Advanced Materials;Materials Science, miscellaneous;Q1
Advanced Materials;Mechanical Engineering;Q1
Advanced Materials;Mechanics of Materials;Q1
Advanced Materials;Nanoscience and Nanotechnology;Q1
Annual Review of Organizational Psychology and Organizational Behavior;Applied Psychology;Q1
Annual Review of Organizational Psychology and Organizational Behavior;Organizational Behavior and Human Resource Management;Q1
Annual Review of Organizational Psychology and Organizational Behavior;Social Psychology;Q1
American Economic Journal: Economic Policy;Economics, Econometrics and Finance, miscellaneous;Q1
Annals of Oncology;Hematology;Q1
Annals of Oncology;Medicine, miscellaneous;Q1
Annals of Oncology;Oncology;Q1
Nature Reviews Endocrinology;Endocrinology;Q1
Nature Reviews Endocrinology;Endocrinology, Diabetes and Metabolism;Q1
Reviews of Geophysics;Geophysics;Q1
Nature Structural and Molecular Biology;Molecular Biology;Q1
Nature Structural and Molecular Biology;Structural Biology;Q1
Annual Review of Public Health;Medicine, miscellaneous;Q1
Annual Review of Public Health;Public Health, Environmental and Occupational Health;Q1
Nature Reviews Disease Primers;Medicine, miscellaneous;Q1
Nature Chemistry;Chemical Engineering, miscellaneous;Q1
Nature Chemistry;Chemistry, miscellaneous;Q1
JAMA Cardiology;Cardiology and Cardiovascular Medicine;Q1
Nature Electronics;Electrical and Electronic Engineering;Q1
Nature Electronics;Electronic, Optical and Magnetic Materials;Q1
Nature Electronics;Instrumentation;Q1
Circulation;Cardiology and Cardiovascular Medicine;Q1
Circulation;Physiology, medical;Q1
IEEE Transactions on Pattern Analysis and Machine Intelligence;Applied Mathematics;Q1
IEEE Transactions on Pattern Analysis and Machine Intelligence;Artificial Intelligence;Q1
IEEE Transactions on Pattern Analysis and Machine Intelligence;Computational Theory and Mathematics;Q1
IEEE Transactions on Pattern Analysis and Machine Intelligence;Computer Vision and Pattern Recognition;Q1
IEEE Transactions on Pattern Analysis and Machine Intelligence;Software;Q1
Review of Economics and Statistics;Economics and Econometrics;Q1
Review of Economics and Statistics;Social Sciences, miscellaneous;Q1
Nucleic Acids Research;Genetics;Q1
Advanced Energy Materials;Materials Science, miscellaneous;Q1
Advanced Energy Materials;Renewable Energy, Sustainability and the Environment;Q1
Psychological science in the public interest : a journal of the American Psychological Society;Medicine, miscellaneous;Q1
Nature Reviews Neuroscience;Neuroscience, miscellaneous;Q1
Cell Stem Cell;Cell Biology;Q1
Cell Stem Cell;Genetics;Q1
Cell Stem Cell;Molecular Medicine;Q1
Gut;Gastroenterology;Q1
Cell Research;Cell Biology;Q1
Cell Research;Molecular Biology;Q1
Journal of Economic Perspectives;Economics and Econometrics;Q1
Nature Reviews Neurology;Cellular and Molecular Neuroscience;Q1
Nature Reviews Neurology;Neurology, clinical;Q1
Gastroenterology;Gastroenterology;Q1
Gastroenterology;Hepatology;Q1
Personality and Social Psychology Review;Social Psychology;Q1
Academy of Management Review;Business, Management and Accounting, miscellaneous;Q1
Academy of Management Review;Management of Technology and Innovation;Q1
Academy of Management Review;Strategy and Management;Q1
NCHS data brief;Medicine, miscellaneous;Q1
Nature Physics;Physics and Astronomy, miscellaneous;Q1
Annual Review of Fluid Mechanics;Condensed Matter Physics;Q1
Neuron;Neuroscience, miscellaneous;Q1
Psychological Bulletin;History and Philosophy of Science;Q1
Psychological Bulletin;Psychology, miscellaneous;Q1
JAMA Oncology;Cancer Research;Q1
JAMA Oncology;Oncology;Q1
Acta Crystallographica Section D: Structural Biology;Structural Biology;Q1
EnergyChem;Biomaterials;Q1
EnergyChem;Chemistry, miscellaneous;Q1
EnergyChem;Energy, miscellaneous;Q1
Advances in Optics and Photonics;Atomic and Molecular Physics, and Optics;Q1
Advances in Optics and Photonics;Water Science and Technology;Q1
Accounts of Chemical Research;Chemistry, miscellaneous;Q1
Accounts of Chemical Research;Medicine, miscellaneous;Q1
Journal of Marketing;Business and International Management;Q1
Journal of Marketing;Economics and Econometrics;Q1
Journal of Marketing;Marketing;Q1
Annual Review of Clinical Psychology;Clinical Psychology;Q1
Annual Review of Clinical Psychology;Medicine, miscellaneous;Q1
Annual Review of Clinical Psychology;Psychiatry and Mental Health;Q1
Trends in Cell Biology;Cell Biology;Q1
ACS Energy Letters;Chemistry, miscellaneous;Q1
ACS Energy Letters;Energy Engineering and Power Technology;Q1
ACS Energy Letters;Fuel Technology;Q1
ACS Energy Letters;Materials Chemistry;Q1
ACS Energy Letters;Renewable Energy, Sustainability and the Environment;Q1
Journal of Hepatology;Hepatology;Q1
Journal of Accounting and Economics;Accounting;Q1
Journal of Accounting and Economics;Economics and Econometrics;Q1
Journal of Accounting and Economics;Finance;Q1
Annual Review of Neuroscience;Neuroscience, miscellaneous;Q1
Journal of Experimental Medicine;Immunology;Q1
Journal of Experimental Medicine;Immunology and Allergy;Q1
Journal of Experimental Medicine;Medicine, miscellaneous;Q1
Annual Review of Biophysics;Biochemistry;Q1
Annual Review of Biophysics;Bioengineering;Q1
Annual Review of Biophysics;Biophysics;Q1
Annual Review of Biophysics;Cell Biology;Q1
Annual Review of Biophysics;Structural Biology;Q1
ACM Transactions on Graphics;Computer Graphics and Computer-Aided Design;Q1
Manufacturing and Service Operations Management;Management Science and Operations Research;Q1
Manufacturing and Service Operations Management;Strategy and Management;Q1
Journal of Management;Finance;Q1
Journal of Management;Strategy and Management;Q1
Review of Corporate Finance Studies;Business and International Management;Q1
Review of Corporate Finance Studies;Economics and Econometrics;Q1
Review of Corporate Finance Studies;Finance;Q1
Journal of Consumer Research;Anthropology;Q1
Journal of Consumer Research;Arts and Humanities, miscellaneous;Q1
Journal of Consumer Research;Business and International Management;Q1
Journal of Consumer Research;Economics and Econometrics;Q1
Journal of Consumer Research;Marketing;Q1
Nature Protocols;Biochemistry, Genetics and Molecular Biology, miscellaneous;Q1
Electrochemical Energy Reviews;Chemical Engineering, miscellaneous;Q1
Electrochemical Energy Reviews;Electrochemistry;Q1
Electrochemical Energy Reviews;Energy Engineering and Power Technology;Q1
Electrochemical Energy Reviews;Materials Science, miscellaneous;Q1
Cell Systems;Cell Biology;Q1
Cell Systems;Histology;Q1
Cell Systems;Pathology and Forensic Medicine;Q1
Living Reviews in Solar Physics;Astronomy and Astrophysics;Q1
Living Reviews in Solar Physics;Space and Planetary Science;Q1
Molecular Cancer;Cancer Research;Q1
Molecular Cancer;Molecular Medicine;Q1
Molecular Cancer;Oncology;Q1
Review of Educational Research;Education;Q1
Organization Science;Management of Technology and Innovation;Q1
Organization Science;Organizational Behavior and Human Resource Management;Q1
Organization Science;Strategy and Management;Q1
Endocrine Reviews;Endocrinology;Q1
Endocrine Reviews;Endocrinology, Diabetes and Metabolism;Q1
Annual Review of Economics;Economics and Econometrics;Q1
International Journal of Computer Vision;Artificial Intelligence;Q1
International Journal of Computer Vision;Computer Vision and Pattern Recognition;Q1
International Journal of Computer Vision;Software;Q1
Progress in Energy and Combustion Science;Chemical Engineering, miscellaneous;Q1
Progress in Energy and Combustion Science;Energy Engineering and Power Technology;Q1
Progress in Energy and Combustion Science;Fuel Technology;Q1
Physical Review X;Physics and Astronomy, miscellaneous;Q1
Nature Reviews Cardiology;Cardiology and Cardiovascular Medicine;Q1
Annual Review of Physiology;Physiology;Q1
NBER Macroeconomics Annual;Economics and Econometrics;Q1
Annals of Mathematics;Mathematics, miscellaneous;Q1
Annals of Mathematics;Statistics and Probability;Q1
Annals of Mathematics;Statistics, Probability and Uncertainty;Q1
Fungal Diversity;Ecology;Q1
Fungal Diversity;Ecology, Evolution, Behavior and Systematics;Q1
Fungal Diversity;Plant Science;Q1
Lancet Rheumatology, The;Immunology;Q1
Lancet Rheumatology, The;Immunology and Allergy;Q1
Lancet Rheumatology, The;Rheumatology;Q1
Nature Reviews Nephrology;Nephrology;Q1
Annual Review of Nuclear and Particle Science;Nuclear and High Energy Physics;Q1
Marketing Science;Business and International Management;Q1
Marketing Science;Economics and Econometrics;Q1
Marketing Science;Marketing;Q1
Science Robotics;Artificial Intelligence;Q1
Science Robotics;Computer Science Applications;Q1
Science Robotics;Control and Optimization;Q1
Science Robotics;Mechanical Engineering;Q1
Genes and Development;Developmental Biology;Q1
Genes and Development;Genetics;Q1
Diabetes Care;Advanced and Specialized Nursing;Q1
Diabetes Care;Endocrinology, Diabetes and Metabolism;Q1
Diabetes Care;Internal Medicine;Q1
Molecular Systems Biology;Agricultural and Biological Sciences, miscellaneous;Q1
Molecular Systems Biology;Applied Mathematics;Q1
Molecular Systems Biology;Biochemistry, Genetics and Molecular Biology, miscellaneous;Q1
Molecular Systems Biology;Computational Theory and Mathematics;Q1
Molecular Systems Biology;Immunology and Microbiology, miscellaneous ;Q1
Molecular Systems Biology;Information Systems;Q1
Molecular Systems Biology;Medicine, miscellaneous;Q1
Journal of Applied Psychology;Applied Psychology;Q1
Materials Science and Engineering: R: Reports;Condensed Matter Physics;Q1
Materials Science and Engineering: R: Reports;Materials Science, miscellaneous;Q1
Materials Science and Engineering: R: Reports;Mechanical Engineering;Q1
Materials Science and Engineering: R: Reports;Mechanics of Materials;Q1
Annual Review of Microbiology;Medicine, miscellaneous;Q1
Annual Review of Microbiology;Microbiology;Q1
Annual Review of Cell and Developmental Biology;Cell Biology;Q1
Annual Review of Cell and Developmental Biology;Developmental Biology;Q1
Annals of Statistics;Statistics and Probability;Q1
Annals of Statistics;Statistics, Probability and Uncertainty;Q1
Physics Reports;Physics and Astronomy, miscellaneous;Q1
IEEE Journal on Selected Areas in Communications;Computer Networks and Communications;Q1
IEEE Journal on Selected Areas in Communications;Electrical and Electronic Engineering;Q1
Materials Today;Condensed Matter Physics;Q1
Materials Today;Materials Science, miscellaneous;Q1
Materials Today;Mechanical Engineering;Q1
Materials Today;Mechanics of Materials;Q1
JAMA Neurology;Neurology, clinical;Q1
Journal of the Royal Statistical Society. Series B: Statistical Methodology;Statistics and Probability;Q1
Journal of the Royal Statistical Society. Series B: Statistical Methodology;Statistics, Probability and Uncertainty;Q1
Annual Review of Ecology, Evolution, and Systematics;Ecology;Q1
Annual Review of Ecology, Evolution, and Systematics;Ecology, Evolution, Behavior and Systematics;Q1
Trends in Cognitive Sciences;Cognitive Neuroscience;Q1
Trends in Cognitive Sciences;Experimental and Cognitive Psychology;Q1
Trends in Cognitive Sciences;Neuropsychology and Physiological Psychology;Q1
Nature Metabolism;Cell Biology;Q1
Nature Metabolism;Endocrinology, Diabetes and Metabolism;Q1
Nature Metabolism;Internal Medicine;Q1
Nature Metabolism;Physiology, medical;Q1
Nature Cancer;Cancer Research;Q1
Nature Cancer;Oncology;Q1
European Urology;Urology;Q1
Systematic Biology;Ecology, Evolution, Behavior and Systematics;Q1
Systematic Biology;Genetics;Q1
Nature Climate Change;Environmental Science, miscellaneous;Q1
Nature Climate Change;Social Sciences, miscellaneous;Q1
Annual Review of Entomology;Ecology, Evolution, Behavior and Systematics;Q1
Annual Review of Entomology;Insect Science;Q1
Cancer Discovery;Oncology;Q1
IEEE Transactions on Evolutionary Computation;Computational Theory and Mathematics;Q1
IEEE Transactions on Evolutionary Computation;Software;Q1
IEEE Transactions on Evolutionary Computation;Theoretical Computer Science;Q1
JAMA - Journal of the American Medical Association;Medicine, miscellaneous;Q1
Chem;Biochemistry;Q1
Chem;Biochemistry, medical;Q1
Chem;Chemical Engineering, miscellaneous;Q1
Chem;Chemistry, miscellaneous;Q1
Chem;Environmental Chemistry;Q1
Chem;Materials Chemistry;Q1
IEEE Wireless Communications;Computer Science Applications;Q1
IEEE Wireless Communications;Electrical and Electronic Engineering;Q1
Lancet Digital Health, The;Decision Sciences, miscellaneous;Q1
Lancet Digital Health, The;Health Informatics;Q1
Lancet Digital Health, The;Health Information Management;Q1
Lancet Digital Health, The;Medicine, miscellaneous;Q1
Progress in Retinal and Eye Research;Ophthalmology;Q1
Progress in Retinal and Eye Research;Sensory Systems;Q1
Cell Reports Medicine;Biochemistry, Genetics and Molecular Biology, miscellaneous;Q1
American Journal of Respiratory and Critical Care Medicine;Critical Care and Intensive Care Medicine;Q1
American Journal of Respiratory and Critical Care Medicine;Pulmonary and Respiratory Medicine;Q1
American Sociological Review;Sociology and Political Science;Q1
Lancet Gastroenterology and Hepatology, The;Gastroenterology;Q1
Lancet Gastroenterology and Hepatology, The;Hepatology;Q1
Journal of Accounting Research;Accounting;Q1
Journal of Accounting Research;Economics and Econometrics;Q1
Journal of Accounting Research;Finance;Q1
JACC: Cardiovascular Imaging;Cardiology and Cardiovascular Medicine;Q1
JACC: Cardiovascular Imaging;Radiology, Nuclear Medicine and Imaging;Q1
Progress in Polymer Science;Ceramics and Composites;Q1
Progress in Polymer Science;Materials Chemistry;Q1
Progress in Polymer Science;Organic Chemistry;Q1
Progress in Polymer Science;Polymers and Plastics;Q1
Progress in Polymer Science;Surfaces and Interfaces;Q1
Journal of Business Venturing;Business and International Management;Q1
Journal of Business Venturing;Management of Technology and Innovation;Q1
American Political Science Review;Political Science and International Relations;Q1
American Political Science Review;Sociology and Political Science;Q1
Nature Sustainability;Ecology;Q1
Nature Sustainability;Food Science;Q1
Nature Sustainability;Geography, Planning and Development;Q1
Nature Sustainability;Global and Planetary Change;Q1
Nature Sustainability;Management, Monitoring, Policy and Law;Q1
Nature Sustainability;Nature and Landscape Conservation;Q1
Nature Sustainability;Renewable Energy, Sustainability and the Environment;Q1
Nature Sustainability;Urban Studies;Q1
JAMA Internal Medicine;Internal Medicine;Q1
Reports on Progress in Physics;Medicine, miscellaneous;Q1
Reports on Progress in Physics;Physics and Astronomy, miscellaneous;Q1
Journal of the American Chemical Society;Biochemistry;Q1
Journal of the American Chemical Society;Catalysis;Q1
Journal of the American Chemical Society;Chemistry, miscellaneous;Q1
Journal of the American Chemical Society;Colloid and Surface Chemistry;Q1
Genome Research;Genetics;Q1
Genome Research;Genetics, clinical;Q1
American Economic Journal: Microeconomics;Economics, Econometrics and Finance, miscellaneous;Q1
Ecology Letters;Ecology, Evolution, Behavior and Systematics;Q1
Annual Review of Genomics and Human Genetics;Genetics;Q1
Annual Review of Genomics and Human Genetics;Genetics, clinical;Q1
Annual Review of Genomics and Human Genetics;Molecular Biology;Q1
Nature Biomedical Engineering;Bioengineering;Q1
Nature Biomedical Engineering;Biomedical Engineering;Q1
Nature Biomedical Engineering;Biotechnology;Q1
Nature Biomedical Engineering;Computer Science Applications;Q1
Nature Biomedical Engineering;Medicine, miscellaneous;Q1
EMBO Journal;Biochemistry, Genetics and Molecular Biology, miscellaneous;Q1
EMBO Journal;Immunology and Microbiology, miscellaneous ;Q1
EMBO Journal;Medicine, miscellaneous;Q1
EMBO Journal;Molecular Biology;Q1
EMBO Journal;Neuroscience, miscellaneous;Q1
Current Protocols in Bioinformatics;Biochemistry;Q1
Current Protocols in Bioinformatics;Medicine, miscellaneous;Q1
Current Protocols in Bioinformatics;Structural Biology;Q1
Nature Chemical Biology;Cell Biology;Q1
Nature Chemical Biology;Molecular Biology;Q1
JAMA Psychiatry;Medicine, miscellaneous;Q1
JAMA Psychiatry;Psychiatry and Mental Health;Q1
Vital and health statistics. Series 2, Data evaluation and methods research;Health Information Management;Q1
Vital and health statistics. Series 2, Data evaluation and methods research;Medicine, miscellaneous;Q1
Vital and health statistics. Series 2, Data evaluation and methods research;Statistics and Probability;Q1
Pharmacological Reviews;Molecular Medicine;Q1
Pharmacological Reviews;Pharmacology;Q1
Journal of the European Economic Association;Economics, Econometrics and Finance, miscellaneous;Q1
Nature Ecology and Evolution;Ecology;Q1
Nature Ecology and Evolution;Ecology, Evolution, Behavior and Systematics;Q1
Journal of Clinical Investigation;Medicine, miscellaneous;Q1
MMWR supplements;Medicine, miscellaneous;Q1
Science Translational Medicine;Medicine, miscellaneous;Q1
Light: Science and Applications;Atomic and Molecular Physics, and Optics;Q1
Light: Science and Applications;Electronic, Optical and Magnetic Materials;Q1
JACC: Heart Failure;Cardiology and Cardiovascular Medicine;Q1
Annual Review of Political Science;Sociology and Political Science;Q1
Zhonghua fu chan ke za zhi;Medicine, miscellaneous;Q1
Trends in Ecology and Evolution;Ecology, Evolution, Behavior and Systematics;Q1
Cement and Concrete Research;Building and Construction;Q1
Cement and Concrete Research;Materials Science, miscellaneous;Q1
Annual Review of Sociology;Sociology and Political Science;Q1
Journal of Labor Economics;Economics and Econometrics;Q1
Journal of Labor Economics;Industrial Relations;Q1
Journal of the American Mathematical Society;Applied Mathematics;Q1
Journal of the American Mathematical Society;Mathematics, miscellaneous;Q1
Journal of Marketing Research;Business and International Management;Q1
Journal of Marketing Research;Economics and Econometrics;Q1
Journal of Marketing Research;Marketing;Q1
Annual Review of Financial Economics;Economics and Econometrics;Q1
Annual Review of Financial Economics;Finance;Q1
Annals of the Rheumatic Diseases;Biochemistry, Genetics and Molecular Biology, miscellaneous;Q1
Annals of the Rheumatic Diseases;Immunology;Q1
Annals of the Rheumatic Diseases;Immunology and Allergy;Q1
Annals of the Rheumatic Diseases;Rheumatology;Q1
Nature Geoscience;Earth and Planetary Sciences, miscellaneous;Q1
Molecular Biology and Evolution;Ecology, Evolution, Behavior and Systematics;Q1
